Height	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
67	-0.3833	7.6806	0.09094	5.881	6.267	6.508	6.641	6.853	7.001	7.229	7.681	8.172	8.454	8.653	8.96	9.167	9.577	10.34
67.1	-0.3833	7.702	0.09093	5.898	6.284	6.526	6.659	6.872	7.021	7.249	7.702	8.195	8.478	8.677	8.985	9.192	9.603	10.369
67.2	-0.3833	7.7234	0.09091	5.915	6.302	6.545	6.678	6.891	7.041	7.269	7.723	8.218	8.501	8.701	9.009	9.217	9.629	10.397
67.3	-0.3833	7.7448	0.0909	5.931	6.32	6.563	6.697	6.911	7.06	7.289	7.745	8.241	8.525	8.725	9.034	9.243	9.656	10.425
67.4	-0.3833	7.7661	0.09089	5.948	6.337	6.581	6.715	6.93	7.08	7.309	7.766	8.263	8.548	8.749	9.059	9.268	9.682	10.454
67.5	-0.3833	7.7874	0.09088	5.964	6.355	6.599	6.734	6.949	7.099	7.33	7.787	8.286	8.571	8.773	9.083	9.293	9.708	10.482
67.6	-0.3833	7.8086	0.09087	5.981	6.372	6.617	6.752	6.968	7.119	7.35	7.809	8.308	8.595	8.797	9.108	9.318	9.735	10.51
67.7	-0.3833	7.8298	0.09086	5.997	6.39	6.635	6.771	6.987	7.138	7.37	7.83	8.331	8.618	8.82	9.133	9.343	9.761	10.538
67.8	-0.3833	7.8509	0.09085	6.013	6.407	6.653	6.789	7.006	7.157	7.389	7.851	8.353	8.641	8.844	9.157	9.368	9.787	10.566
67.9	-0.3833	7.872	0.09084	6.03	6.424	6.671	6.807	7.025	7.177	7.409	7.872	8.376	8.664	8.868	9.181	9.393	9.813	10.594
68	-0.3833	7.893	0.09083	6.046	6.442	6.689	6.826	7.043	7.196	7.429	7.893	8.398	8.687	8.891	9.206	9.418	9.839	10.622
68.1	-0.3833	7.914	0.09082	6.062	6.459	6.707	6.844	7.062	7.215	7.449	7.914	8.42	8.71	8.915	9.23	9.443	9.865	10.65
68.2	-0.3833	7.935	0.0908	6.079	6.476	6.725	6.862	7.081	7.234	7.469	7.935	8.442	8.733	8.938	9.254	9.468	9.89	10.678
68.3	-0.3833	7.9559	0.09079	6.095	6.494	6.743	6.881	7.1	7.253	7.489	7.956	8.464	8.756	8.962	9.278	9.493	9.916	10.705
68.4	-0.3833	7.9768	0.09078	6.111	6.511	6.761	6.899	7.119	7.273	7.508	7.977	8.487	8.779	8.985	9.303	9.517	9.942	10.733
68.5	-0.3833	7.9976	0.09077	6.127	6.528	6.779	6.917	7.137	7.292	7.528	7.998	8.509	8.802	9.008	9.327	9.542	9.968	10.761
68.6	-0.3833	8.0184	0.09076	6.143	6.545	6.796	6.935	7.156	7.311	7.548	8.018	8.531	8.825	9.032	9.351	9.567	9.993	10.788
68.7	-0.3833	8.0392	0.09075	6.159	6.562	6.814	6.953	7.175	7.33	7.567	8.039	8.553	8.847	9.055	9.375	9.591	10.019	10.816
68.8	-0.3833	8.0599	0.09074	6.175	6.579	6.832	6.971	7.193	7.349	7.587	8.06	8.575	8.87	9.078	9.399	9.616	10.044	10.843
68.9	-0.3833	8.0806	0.09072	6.192	6.596	6.85	6.989	7.212	7.368	7.606	8.081	8.597	8.893	9.101	9.423	9.64	10.07	10.87
69	-0.3833	8.1012	0.09071	6.207	6.613	6.867	7.007	7.23	7.386	7.626	8.101	8.619	8.915	9.124	9.447	9.664	10.095	10.898
69.1	-0.3833	8.1218	0.0907	6.223	6.63	6.885	7.025	7.249	7.405	7.645	8.122	8.64	8.938	9.147	9.47	9.689	10.121	10.925
69.2	-0.3833	8.1424	0.09069	6.239	6.647	6.902	7.043	7.267	7.424	7.665	8.142	8.662	8.96	9.17	9.494	9.713	10.146	10.952
69.3	-0.3833	8.163	0.09068	6.255	6.664	6.92	7.061	7.286	7.443	7.684	8.163	8.684	8.983	9.193	9.518	9.738	10.171	10.98
69.4	-0.3833	8.1835	0.09067	6.271	6.681	6.937	7.079	7.304	7.462	7.703	8.184	8.706	9.005	9.216	9.542	9.762	10.197	11.007
69.5	-0.3833	8.2039	0.09065	6.287	6.698	6.955	7.097	7.322	7.481	7.723	8.204	8.728	9.028	9.239	9.565	9.786	10.222	11.034
69.6	-0.3833	8.2244	0.09064	6.303	6.715	6.972	7.114	7.341	7.499	7.742	8.224	8.749	9.05	9.262	9.589	9.81	10.247	11.061
69.7	-0.3833	8.2448	0.09063	6.319	6.732	6.99	7.132	7.359	7.518	7.761	8.245	8.771	9.072	9.285	9.613	9.834	10.272	11.088
69.8	-0.3833	8.2651	0.09062	6.335	6.748	7.007	7.15	7.377	7.537	7.781	8.265	8.792	9.095	9.308	9.636	9.858	10.297	11.115
69.9	-0.3833	8.2855	0.09061	6.35	6.765	7.025	7.168	7.396	7.555	7.8	8.286	8.814	9.117	9.331	9.66	9.882	10.322	11.142
70	-0.3833	8.3058	0.09059	6.366	6.782	7.042	7.185	7.414	7.574	7.819	8.306	8.836	9.139	9.353	9.683	9.906	10.347	11.168
70.1	-0.3833	8.3261	0.09058	6.382	6.799	7.059	7.203	7.432	7.593	7.838	8.326	8.857	9.161	9.376	9.707	9.93	10.372	11.195
70.2	-0.3833	8.3464	0.09057	6.398	6.816	7.077	7.221	7.45	7.611	7.857	8.346	8.879	9.184	9.399	9.73	9.954	10.397	11.222
70.3	-0.3833	8.3666	0.09056	6.414	6.832	7.094	7.238	7.469	7.63	7.876	8.367	8.9	9.206	9.421	9.754	9.978	10.422	11.249
70.4	-0.3833	8.3869	0.09055	6.429	6.849	7.111	7.256	7.487	7.648	7.896	8.387	8.922	9.228	9.444	9.777	10.002	10.447	11.276
70.5	-0.3833	8.4071	0.09053	6.445	6.866	7.129	7.274	7.505	7.667	7.915	8.407	8.943	9.25	9.466	9.8	10.026	10.472	11.302
70.6	-0.3833	8.4273	0.09052	6.461	6.882	7.146	7.291	7.523	7.685	7.934	8.427	8.964	9.272	9.489	9.824	10.05	10.497	11.329
70.7	-0.3833	8.4474	0.09051	6.476	6.899	7.163	7.309	7.541	7.704	7.953	8.447	8.986	9.294	9.512	9.847	10.073	10.521	11.356
70.8	-0.3833	8.4676	0.0905	6.492	6.916	7.18	7.326	7.559	7.722	7.972	8.468	9.007	9.316	9.534	9.87	10.097	10.546	11.382
70.9	-0.3833	8.4877	0.09048	6.508	6.932	7.198	7.344	7.577	7.741	7.991	8.488	9.028	9.338	9.557	9.893	10.121	10.571	11.409
71	-0.3833	8.5078	0.09047	6.523	6.949	7.215	7.361	7.595	7.759	8.01	8.508	9.05	9.36	9.579	9.917	10.145	10.595	11.435
71.1	-0.3833	8.5278	0.09046	6.539	6.965	7.232	7.379	7.613	7.777	8.029	8.528	9.071	9.382	9.601	9.94	10.168	10.62	11.462
71.2	-0.3833	8.5479	0.09045	6.555	6.982	7.249	7.396	7.631	7.796	8.048	8.548	9.092	9.404	9.624	9.963	10.192	10.645	11.488
71.3	-0.3833	8.5679	0.09043	6.57	6.999	7.266	7.414	7.649	7.814	8.067	8.568	9.113	9.426	9.646	9.986	10.215	10.669	11.514
71.4	-0.3833	8.5879	0.09042	6.586	7.015	7.283	7.431	7.667	7.833	8.085	8.588	9.135	9.448	9.669	10.009	10.239	10.694	11.541
71.5	-0.3833	8.6078	0.09041	6.601	7.031	7.3	7.449	7.685	7.851	8.104	8.608	9.156	9.47	9.691	10.032	10.263	10.718	11.567
71.6	-0.3833	8.6277	0.0904	6.617	7.048	7.317	7.466	7.703	7.869	8.123	8.628	9.177	9.491	9.713	10.055	10.286	10.743	11.594
71.7	-0.3833	8.6476	0.09039	6.632	7.064	7.334	7.483	7.721	7.887	8.142	8.648	9.198	9.513	9.735	10.078	10.31	10.767	11.62
71.8	-0.3833	8.6674	0.09037	6.648	7.081	7.352	7.501	7.739	7.905	8.161	8.667	9.219	9.535	9.757	10.101	10.333	10.791	11.646
71.9	-0.3833	8.6872	0.09036	6.663	7.097	7.368	7.518	7.757	7.924	8.179	8.687	9.24	9.557	9.78	10.124	10.356	10.816	11.672
72	-0.3833	8.707	0.09035	6.678	7.113	7.385	7.535	7.774	7.942	8.198	8.707	9.261	9.578	9.802	10.147	10.38	10.84	11.698
72.1	-0.3833	8.7267	0.09034	6.694	7.13	7.402	7.552	7.792	7.96	8.217	8.727	9.282	9.6	9.824	10.169	10.403	10.864	11.724
72.2	-0.3833	8.7464	0.09032	6.709	7.146	7.419	7.57	7.81	7.978	8.235	8.746	9.303	9.621	9.846	10.192	10.426	10.888	11.75
72.3	-0.3833	8.7661	0.09031	6.724	7.162	7.436	7.587	7.828	7.996	8.254	8.766	9.323	9.643	9.868	10.215	10.449	10.913	11.776
72.4	-0.3833	8.7857	0.0903	6.74	7.178	7.453	7.604	7.845	8.014	8.272	8.786	9.344	9.664	9.89	10.237	10.472	10.937	11.802
72.5	-0.3833	8.8053	0.09028	6.755	7.195	7.47	7.621	7.863	8.032	8.291	8.805	9.365	9.686	9.912	10.26	10.495	10.961	11.827
72.6	-0.3833	8.8248	0.09027	6.77	7.211	7.486	7.638	7.88	8.05	8.309	8.825	9.386	9.707	9.933	10.282	10.518	10.985	11.853
72.7	-0.3833	8.8443	0.09026	6.785	7.227	7.503	7.655	7.898	8.068	8.328	8.844	9.406	9.728	9.955	10.305	10.541	11.009	11.879
72.8	-0.3833	8.8638	0.09025	6.801	7.243	7.52	7.672	7.915	8.086	8.346	8.864	9.427	9.75	9.977	10.328	10.564	11.033	11.905
72.9	-0.3833	8.8831	0.09023	6.816	7.259	7.536	7.689	7.933	8.103	8.364	8.883	9.447	9.771	9.998	10.35	10.587	11.056	11.93
73	-0.3833	8.9025	0.09022	6.831	7.275	7.553	7.706	7.95	8.121	8.383	8.903	9.468	9.792	10.02	10.372	10.61	11.08	11.955
73.1	-0.3833	8.9217	0.09021	6.846	7.291	7.569	7.723	7.967	8.139	8.401	8.922	9.488	9.813	10.042	10.394	10.633	11.104	11.981
73.2	-0.3833	8.941	0.0902	6.861	7.307	7.586	7.74	7.985	8.156	8.419	8.941	9.509	9.834	10.063	10.417	10.655	11.127	12.006
73.3	-0.3833	8.9601	0.09018	6.876	7.323	7.602	7.756	8.002	8.174	8.437	8.96	9.529	9.855	10.084	10.438	10.678	11.151	12.031
73.4	-0.3833	8.9792	0.09017	6.891	7.339	7.619	7.773	8.019	8.191	8.455	8.979	9.549	9.876	10.106	10.461	10.7	11.174	12.056
73.5	-0.3833	8.9983	0.09016	6.905	7.354	7.635	7.79	8.036	8.209	8.473	8.998	9.569	9.897	10.127	10.483	10.723	11.198	12.082
73.6	-0.3833	9.0173	0.09014	6.92	7.37	7.651	7.806	8.054	8.226	8.491	9.017	9.589	9.917	10.148	10.504	10.745	11.221	12.106
73.7	-0.3833	9.0363	0.09013	6.935	7.386	7.668	7.823	8.071	8.244	8.509	9.036	9.61	9.938	10.169	10.526	10.767	11.244	12.131
73.8	-0.3833	9.0552	0.09012	6.95	7.402	7.684	7.839	8.088	8.261	8.527	9.055	9.63	9.959	10.191	10.548	10.79	11.267	12.156
73.9	-0.3833	9.074	0.09011	6.965	7.417	7.7	7.856	8.104	8.278	8.545	9.074	9.65	9.979	10.212	10.57	10.812	11.29	12.181
74	-0.3833	9.0928	0.09009	6.979	7.433	7.716	7.872	8.121	8.296	8.563	9.093	9.669	10	10.233	10.591	10.834	11.313	12.205
74.1	-0.3833	9.1116	0.09008	6.994	7.448	7.732	7.889	8.138	8.313	8.58	9.112	9.689	10.02	10.254	10.613	10.856	11.336	12.23
74.2	-0.3833	9.1303	0.09007	7.009	7.464	7.748	7.905	8.155	8.33	8.598	9.13	9.709	10.041	10.274	10.635	10.878	11.359	12.255
74.3	-0.3833	9.149	0.09005	7.023	7.479	7.764	7.921	8.172	8.347	8.616	9.149	9.729	10.061	10.295	10.656	10.9	11.382	12.279
74.4	-0.3833	9.1676	0.09004	7.038	7.495	7.78	7.938	8.189	8.364	8.633	9.168	9.749	10.082	10.316	10.678	10.922	11.405	12.304
74.5	-0.3833	9.1862	0.09003	7.052	7.51	7.796	7.954	8.205	8.381	8.651	9.186	9.768	10.102	10.337	10.699	10.944	11.428	12.328
74.6	-0.3833	9.2048	0.09001	7.067	7.526	7.812	7.97	8.222	8.399	8.669	9.205	9.788	10.122	10.357	10.72	10.966	11.45	12.352
74.7	-0.3833	9.2233	0.09	7.081	7.541	7.828	7.986	8.239	8.416	8.686	9.223	9.808	10.142	10.378	10.742	10.987	11.473	12.377
74.8	-0.3833	9.2418	0.08999	7.096	7.556	7.844	8.003	8.256	8.433	8.704	9.242	9.827	10.163	10.399	10.763	11.009	11.496	12.401
74.9	-0.3833	9.2602	0.08997	7.11	7.572	7.86	8.019	8.272	8.449	8.721	9.26	9.847	10.183	10.419	10.784	11.031	11.518	12.425
75	-0.3833	9.2786	0.08996	7.125	7.587	7.876	8.035	8.289	8.466	8.738	9.279	9.866	10.203	10.44	10.805	11.052	11.54	12.449
75.1	-0.3833	9.297	0.08995	7.139	7.602	7.891	8.051	8.305	8.483	8.756	9.297	9.886	10.223	10.46	10.827	11.074	11.563	12.474
75.2	-0.3833	9.3154	0.08993	7.153	7.617	7.907	8.067	8.322	8.5	8.773	9.315	9.905	10.243	10.481	10.848	11.096	11.585	12.497
75.3	-0.3833	9.3337	0.08992	7.168	7.632	7.923	8.083	8.338	8.517	8.791	9.334	9.924	10.263	10.501	10.869	11.117	11.608	12.521
75.4	-0.3833	9.352	0.08991	7.182	7.648	7.939	8.099	8.355	8.534	8.808	9.352	9.944	10.283	10.522	10.89	11.139	11.63	12.546
75.5	-0.3833	9.3703	0.08989	7.196	7.663	7.954	8.115	8.371	8.551	8.825	9.37	9.963	10.303	10.542	10.911	11.16	11.652	12.569
75.6	-0.3833	9.3886	0.08988	7.211	7.678	7.97	8.131	8.388	8.567	8.842	9.389	9.983	10.323	10.562	10.932	11.182	11.675	12.593
75.7	-0.3833	9.4069	0.08987	7.225	7.693	7.986	8.147	8.404	8.584	8.86	9.407	10.002	10.343	10.583	10.953	11.203	11.697	12.618
75.8	-0.3833	9.4252	0.08985	7.239	7.708	8.002	8.163	8.421	8.601	8.877	9.425	10.021	10.363	10.603	10.974	11.224	11.72	12.641
75.9	-0.3833	9.4435	0.08984	7.254	7.724	8.017	8.179	8.437	8.618	8.894	9.444	10.041	10.383	10.624	10.995	11.246	11.742	12.665
76	-0.3833	9.4617	0.08983	7.268	7.739	8.033	8.195	8.454	8.635	8.912	9.462	10.06	10.403	10.644	11.016	11.268	11.764	12.689
76.1	-0.3833	9.48	0.08981	7.282	7.754	8.049	8.211	8.47	8.651	8.929	9.48	10.079	10.423	10.664	11.037	11.289	11.786	12.713
76.2	-0.3833	9.4983	0.0898	7.297	7.769	8.064	8.227	8.487	8.668	8.946	9.498	10.099	10.443	10.685	11.058	11.31	11.809	12.737
76.3	-0.3833	9.5166	0.08979	7.311	7.784	8.08	8.243	8.503	8.685	8.964	9.517	10.118	10.463	10.705	11.079	11.332	11.831	12.761
76.4	-0.3833	9.535	0.08977	7.325	7.8	8.096	8.259	8.52	8.702	8.981	9.535	10.137	10.483	10.726	11.1	11.353	11.854	12.785
76.5	-0.3833	9.5533	0.08976	7.34	7.815	8.112	8.275	8.536	8.719	8.998	9.553	10.157	10.503	10.746	11.121	11.375	11.876	12.809
76.6	-0.3833	9.5717	0.08975	7.354	7.83	8.127	8.291	8.553	8.736	9.016	9.572	10.176	10.523	10.767	11.143	11.397	11.899	12.833
76.7	-0.3833	9.5901	0.08973	7.368	7.845	8.143	8.308	8.569	8.753	9.033	9.59	10.196	10.543	10.787	11.164	11.418	11.921	12.857
76.8	-0.3833	9.6086	0.08972	7.383	7.861	8.159	8.324	8.586	8.77	9.051	9.609	10.215	10.563	10.808	11.185	11.44	11.944	12.881
76.9	-0.3833	9.6271	0.08971	7.397	7.876	8.175	8.34	8.603	8.787	9.068	9.627	10.235	10.583	10.828	11.206	11.462	11.966	12.906
77	-0.3833	9.6456	0.08969	7.412	7.891	8.191	8.356	8.619	8.804	9.086	9.646	10.254	10.603	10.849	11.227	11.483	11.989	12.93
77.1	-0.3833	9.6642	0.08968	7.426	7.907	8.207	8.372	8.636	8.821	9.103	9.664	10.274	10.624	10.87	11.249	11.505	12.012	12.954
77.2	-0.3833	9.6828	0.08966	7.441	7.922	8.223	8.389	8.653	8.838	9.121	9.683	10.294	10.644	10.89	11.27	11.527	12.034	12.978
77.3	-0.3833	9.7015	0.08965	7.456	7.938	8.239	8.405	8.67	8.855	9.139	9.702	10.314	10.664	10.911	11.292	11.549	12.057	13.003
77.4	-0.3833	9.7202	0.08964	7.47	7.953	8.255	8.421	8.687	8.872	9.156	9.72	10.333	10.685	10.932	11.313	11.571	12.08	13.027
77.5	-0.3833	9.739	0.08963	7.485	7.969	8.271	8.438	8.704	8.889	9.174	9.739	10.353	10.705	10.953	11.335	11.593	12.103	13.052
77.6	-0.3833	9.7578	0.08961	7.5	7.985	8.288	8.454	8.721	8.907	9.192	9.758	10.373	10.726	10.974	11.356	11.615	12.126	13.076
77.7	-0.3833	9.7767	0.0896	7.515	8	8.304	8.471	8.738	8.924	9.21	9.777	10.393	10.746	10.995	11.378	11.637	12.149	13.101
77.8	-0.3833	9.7957	0.08959	7.529	8.016	8.32	8.487	8.755	8.942	9.228	9.796	10.413	10.767	11.016	11.4	11.66	12.172	13.126
77.9	-0.3833	9.8147	0.08957	7.544	8.032	8.336	8.504	8.772	8.959	9.246	9.815	10.433	10.788	11.037	11.422	11.682	12.195	13.151
78	-0.3833	9.8338	0.08956	7.559	8.048	8.353	8.521	8.789	8.977	9.264	9.834	10.454	10.809	11.059	11.444	11.704	12.219	13.176
78.1	-0.3833	9.853	0.08955	7.574	8.064	8.369	8.538	8.806	8.994	9.282	9.853	10.474	10.83	11.08	11.466	11.727	12.242	13.201
78.2	-0.3833	9.8722	0.08953	7.589	8.08	8.386	8.555	8.824	9.012	9.3	9.872	10.494	10.85	11.101	11.488	11.749	12.265	13.226
78.3	-0.3833	9.8915	0.08952	7.605	8.096	8.402	8.571	8.841	9.03	9.318	9.892	10.515	10.872	11.123	11.51	11.772	12.289	13.251
78.4	-0.3833	9.9109	0.08951	7.62	8.112	8.419	8.588	8.858	9.047	9.337	9.911	10.535	10.893	11.144	11.533	11.795	12.313	13.277
78.5	-0.3833	9.9303	0.0895	7.635	8.128	8.436	8.605	8.876	9.065	9.355	9.93	10.556	10.914	11.166	11.555	11.818	12.337	13.303
78.6	-0.3833	9.9499	0.08948	7.65	8.144	8.453	8.623	8.894	9.083	9.374	9.95	10.576	10.935	11.188	11.577	11.841	12.36	13.328
78.7	-0.3833	9.9695	0.08947	7.666	8.16	8.469	8.64	8.911	9.101	9.392	9.97	10.597	10.957	11.21	11.6	11.864	12.384	13.354
78.8	-0.3833	9.9892	0.08946	7.681	8.177	8.486	8.657	8.929	9.119	9.411	9.989	10.618	10.978	11.232	11.623	11.887	12.409	13.38
78.9	-0.3833	10.009	0.08945	7.696	8.193	8.503	8.674	8.947	9.137	9.429	10.009	10.639	11	11.254	11.646	11.91	12.433	13.406
79	-0.3833	10.0289	0.08943	7.712	8.21	8.52	8.692	8.965	9.156	9.448	10.029	10.66	11.021	11.276	11.668	11.933	12.457	13.431
79.1	-0.3833	10.0489	0.08942	7.728	8.226	8.538	8.709	8.983	9.174	9.467	10.049	10.681	11.043	11.298	11.691	11.957	12.481	13.458
79.2	-0.3833	10.069	0.08941	7.743	8.243	8.555	8.727	9.001	9.193	9.486	10.069	10.702	11.065	11.321	11.715	11.981	12.506	13.484
79.3	-0.3833	10.0891	0.0894	7.759	8.259	8.572	8.744	9.019	9.211	9.505	10.089	10.724	11.087	11.343	11.738	12.004	12.531	13.511
79.4	-0.3833	10.1094	0.08939	7.775	8.276	8.589	8.762	9.037	9.23	9.524	10.109	10.745	11.109	11.366	11.761	12.028	12.556	13.537
79.5	-0.3833	10.1298	0.08937	7.791	8.293	8.607	8.78	9.056	9.249	9.544	10.13	10.767	11.132	11.388	11.785	12.052	12.58	13.564
79.6	-0.3833	10.1503	0.08936	7.807	8.31	8.625	8.798	9.074	9.267	9.563	10.15	10.789	11.154	11.411	11.808	12.076	12.606	13.591
79.7	-0.3833	10.1709	0.08935	7.823	8.327	8.642	8.816	9.093	9.286	9.583	10.171	10.81	11.177	11.434	11.832	12.1	12.631	13.618
79.8	-0.3833	10.1916	0.08934	7.839	8.344	8.66	8.834	9.111	9.305	9.602	10.192	10.832	11.199	11.458	11.856	12.125	12.656	13.645
79.9	-0.3833	10.2123	0.08933	7.855	8.362	8.678	8.852	9.13	9.324	9.622	10.212	10.854	11.222	11.481	11.88	12.149	12.682	13.672
80	-0.3833	10.2332	0.08932	7.872	8.379	8.696	8.87	9.149	9.343	9.642	10.233	10.876	11.245	11.504	11.904	12.174	12.707	13.7
80.1	-0.3833	10.2542	0.0893	7.888	8.396	8.714	8.889	9.168	9.363	9.661	10.254	10.899	11.267	11.527	11.928	12.198	12.733	13.727
80.2	-0.3833	10.2753	0.08929	7.905	8.414	8.732	8.907	9.187	9.382	9.681	10.275	10.921	11.291	11.551	11.952	12.223	12.759	13.755
80.3	-0.3833	10.2965	0.08928	7.921	8.431	8.75	8.926	9.206	9.402	9.701	10.297	10.943	11.314	11.575	11.977	12.248	12.785	13.783
80.4	-0.3833	10.3178	0.08927	7.938	8.449	8.768	8.944	9.225	9.421	9.722	10.318	10.966	11.337	11.598	12.001	12.273	12.811	13.811
80.5	-0.3833	10.3393	0.08926	7.955	8.467	8.787	8.963	9.244	9.441	9.742	10.339	10.989	11.361	11.622	12.026	12.298	12.837	13.839
80.6	-0.3833	10.3608	0.08925	7.971	8.485	8.805	8.982	9.264	9.461	9.762	10.361	11.011	11.384	11.646	12.051	12.324	12.863	13.867
80.7	-0.3833	10.3824	0.08924	7.988	8.502	8.824	9.001	9.283	9.48	9.783	10.382	11.034	11.408	11.67	12.076	12.349	12.89	13.896
80.8	-0.3833	10.4041	0.08923	8.005	8.52	8.842	9.02	9.302	9.5	9.803	10.404	11.057	11.431	11.695	12.101	12.375	12.916	13.924
80.9	-0.3833	10.4258	0.08922	8.022	8.538	8.861	9.039	9.322	9.52	9.824	10.426	11.08	11.455	11.719	12.126	12.4	12.943	13.953
81	-0.3833	10.4477	0.08921	8.039	8.556	8.88	9.058	9.342	9.54	9.844	10.448	11.103	11.479	11.743	12.151	12.426	12.97	13.982
81.1	-0.3833	10.4697	0.0892	8.056	8.575	8.899	9.077	9.361	9.56	9.865	10.47	11.127	11.503	11.768	12.176	12.452	12.997	14.011
81.2	-0.3833	10.4918	0.08919	8.073	8.593	8.918	9.096	9.381	9.581	9.886	10.492	11.15	11.527	11.793	12.202	12.478	13.024	14.04
81.3	-0.3833	10.514	0.08918	8.091	8.611	8.937	9.116	9.401	9.601	9.907	10.514	11.174	11.551	11.817	12.227	12.504	13.051	14.069
81.4	-0.3833	10.5363	0.08917	8.108	8.63	8.956	9.135	9.421	9.622	9.928	10.536	11.197	11.576	11.842	12.253	12.531	13.079	14.098
81.5	-0.3833	10.5586	0.08916	8.126	8.648	8.975	9.155	9.441	9.642	9.949	10.559	11.221	11.6	11.867	12.279	12.557	13.106	14.128
81.6	-0.3833	10.5811	0.08915	8.143	8.667	8.994	9.174	9.462	9.663	9.97	10.581	11.245	11.625	11.892	12.305	12.583	13.134	14.157
81.7	-0.3833	10.6037	0.08915	8.16	8.685	9.013	9.194	9.482	9.683	9.992	10.604	11.269	11.65	11.918	12.331	12.61	13.162	14.187
81.8	-0.3833	10.6263	0.08914	8.178	8.704	9.033	9.214	9.502	9.704	10.013	10.626	11.293	11.674	11.943	12.357	12.637	13.189	14.217
81.9	-0.3833	10.6491	0.08913	8.196	8.723	9.052	9.234	9.523	9.725	10.035	10.649	11.317	11.699	11.968	12.383	12.664	13.217	14.247
82	-0.3833	10.6719	0.08912	8.214	8.742	9.072	9.253	9.543	9.746	10.056	10.672	11.341	11.724	11.994	12.41	12.691	13.245	14.277
82.1	-0.3833	10.6948	0.08911	8.232	8.761	9.091	9.273	9.564	9.767	10.078	10.695	11.365	11.749	12.02	12.436	12.718	13.273	14.307
82.2	-0.3833	10.7178	0.0891	8.249	8.78	9.111	9.294	9.585	9.788	10.1	10.718	11.39	11.774	12.045	12.463	12.745	13.302	14.338
82.3	-0.3833	10.741	0.0891	8.267	8.799	9.131	9.314	9.605	9.809	10.121	10.741	11.414	11.8	12.071	12.49	12.772	13.33	14.369
