Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
62	1	38.305	0.03167	34.556	35.483	36.023	36.31	36.75	37.048	37.487	38.305	39.123	39.562	39.86	40.3	40.587	41.127	42.054
63	1	38.3516	0.03166	34.599	35.527	36.068	36.354	36.796	37.093	37.533	38.352	39.171	39.61	39.908	40.349	40.635	41.176	42.104
64	1	38.3978	0.03164	34.643	35.572	36.113	36.399	36.841	37.139	37.578	38.398	39.217	39.657	39.955	40.396	40.683	41.224	42.152
65	1	38.4437	0.03163	34.686	35.615	36.157	36.444	36.885	37.183	37.624	38.444	39.264	39.704	40.002	40.444	40.731	41.272	42.201
66	1	38.4891	0.03162	34.728	35.658	36.2	36.487	36.929	37.228	37.668	38.489	39.31	39.75	40.049	40.491	40.778	41.32	42.25
67	1	38.5342	0.03161	34.77	35.701	36.243	36.531	36.973	37.272	37.713	38.534	39.356	39.797	40.095	40.538	40.825	41.368	42.298
68	1	38.5789	0.0316	34.812	35.743	36.286	36.574	37.017	37.315	37.757	38.579	39.401	39.842	40.141	40.584	40.872	41.415	42.346
69	1	38.6233	0.03159	34.853	35.785	36.329	36.616	37.06	37.359	37.8	38.623	39.446	39.888	40.187	40.63	40.918	41.462	42.394
70	1	38.6673	0.03158	34.894	35.827	36.371	36.659	37.102	37.402	37.844	38.667	39.491	39.933	40.232	40.676	40.964	41.508	42.441
71	1	38.711	0.03158	34.933	35.867	36.412	36.7	37.144	37.444	37.886	38.711	39.536	39.978	40.278	40.722	41.01	41.555	42.489
72	1	38.7543	0.03157	34.973	35.908	36.453	36.742	37.186	37.486	37.929	38.754	39.58	40.022	40.322	40.767	41.055	41.601	42.535
73	1	38.7973	0.03156	35.013	35.949	36.494	36.783	37.228	37.528	37.971	38.797	39.623	40.066	40.366	40.811	41.1	41.646	42.581
74	1	38.84	0.03155	35.053	35.989	36.535	36.824	37.27	37.57	38.013	38.84	39.667	40.11	40.41	40.856	41.145	41.691	42.627
75	1	38.8823	0.03154	35.093	36.029	36.576	36.865	37.311	37.611	38.055	38.882	39.709	40.153	40.454	40.899	41.189	41.735	42.672
76	1	38.9244	0.03153	35.132	36.069	36.616	36.906	37.352	37.652	38.097	38.924	39.752	40.196	40.497	40.943	41.233	41.779	42.717
77	1	38.9661	0.03152	35.171	36.109	36.656	36.946	37.392	37.693	38.138	38.966	39.795	40.239	40.54	40.986	41.276	41.823	42.762
78	1	39.0075	0.03151	35.209	36.148	36.696	36.986	37.432	37.734	38.178	39.008	39.837	40.281	40.583	41.029	41.319	41.867	42.806
79	1	39.0487	0.0315	35.248	36.187	36.735	37.025	37.472	37.774	38.219	39.049	39.878	40.324	40.625	41.072	41.362	41.91	42.85
80	1	39.0895	0.03149	35.286	36.226	36.774	37.065	37.512	37.814	38.259	39.09	39.92	40.365	40.667	41.114	41.405	41.953	42.893
81	1	39.1301	0.03149	35.322	36.264	36.813	37.103	37.551	37.853	38.299	39.13	39.961	40.407	40.709	41.157	41.448	41.997	42.938
82	1	39.1704	0.03148	35.36	36.302	36.851	37.142	37.59	37.892	38.339	39.17	40.002	40.448	40.751	41.199	41.49	42.039	42.981
83	1	39.2104	0.03147	35.397	36.34	36.89	37.181	37.629	37.931	38.378	39.21	40.043	40.489	40.792	41.24	41.531	42.081	43.024
84	1	39.2501	0.03146	35.434	36.378	36.928	37.219	37.668	37.97	38.417	39.25	40.083	40.53	40.833	41.281	41.573	42.123	43.066
85	1	39.2896	0.03145	35.471	36.415	36.966	37.257	37.706	38.009	38.456	39.29	40.123	40.57	40.873	41.322	41.614	42.164	43.108
86	1	39.3288	0.03144	35.508	36.452	37.003	37.295	37.744	38.047	38.495	39.329	40.163	40.61	40.913	41.363	41.654	42.205	43.15
87	1	39.3677	0.03144	35.543	36.488	37.04	37.332	37.781	38.085	38.533	39.368	40.203	40.651	40.954	41.404	41.696	42.247	43.193
88	1	39.4064	0.03143	35.579	36.525	37.077	37.369	37.819	38.123	38.571	39.406	40.242	40.69	40.994	41.444	41.736	42.288	43.234
89	1	39.4448	0.03142	35.615	36.562	37.114	37.406	37.857	38.16	38.609	39.445	40.281	40.729	41.033	41.483	41.776	42.328	43.275
90	1	39.483	0.03141	35.651	36.598	37.151	37.443	37.894	38.198	38.647	39.483	40.319	40.768	41.072	41.523	41.815	42.368	43.315
91	1	39.521	0.0314	35.686	36.634	37.187	37.48	37.931	38.235	38.684	39.521	40.358	40.807	41.111	41.562	41.855	42.408	43.356
92	1	39.5587	0.0314	35.72	36.669	37.222	37.516	37.967	38.271	38.721	39.559	40.397	40.846	41.151	41.602	41.895	42.448	43.397
93	1	39.5962	0.03139	35.755	36.705	37.259	37.552	38.003	38.308	38.758	39.596	40.435	40.884	41.189	41.641	41.934	42.488	43.437
94	1	39.6335	0.03138	35.79	36.74	37.294	37.588	38.04	38.344	38.795	39.634	40.472	40.923	41.227	41.679	41.973	42.527	43.477
95	1	39.6705	0.03137	35.825	36.775	37.33	37.624	38.076	38.381	38.831	39.671	40.51	40.96	41.265	41.717	42.011	42.566	43.516
96	1	39.7073	0.03137	35.858	36.81	37.365	37.658	38.111	38.416	38.867	39.707	40.547	40.998	41.304	41.756	42.05	42.605	43.557
97	1	39.7438	0.03136	35.892	36.844	37.4	37.694	38.147	38.452	38.903	39.744	40.584	41.036	41.341	41.794	42.088	42.643	43.595
98	1	39.7802	0.03135	35.926	36.879	37.435	37.729	38.182	38.488	38.939	39.78	40.621	41.073	41.378	41.832	42.126	42.681	43.634
99	1	39.8163	0.03134	35.96	36.913	37.469	37.764	38.217	38.523	38.975	39.816	40.658	41.11	41.415	41.869	42.163	42.719	43.672
100	1	39.8522	0.03134	35.993	36.947	37.503	37.798	38.252	38.558	39.01	39.852	40.695	41.147	41.453	41.907	42.201	42.758	43.712
101	1	39.8879	0.03133	36.026	36.981	37.537	37.832	38.286	38.593	39.045	39.888	40.731	41.183	41.489	41.943	42.238	42.795	43.75
102	1	39.9233	0.03132	36.059	37.014	37.572	37.867	38.321	38.627	39.08	39.923	40.767	41.219	41.526	41.98	42.275	42.832	43.787
103	1	39.9586	0.03131	36.092	37.048	37.606	37.901	38.355	38.662	39.115	39.959	40.802	41.255	41.562	42.016	42.312	42.869	43.825
104	1	39.9936	0.03131	36.124	37.081	37.638	37.934	38.389	38.696	39.149	39.994	40.838	41.291	41.598	42.053	42.349	42.907	43.863
105	1	40.0284	0.0313	36.157	37.114	37.672	37.968	38.423	38.73	39.183	40.028	40.873	41.327	41.634	42.089	42.385	42.943	43.9
106	1	40.063	0.03129	36.189	37.147	37.705	38.001	38.456	38.764	39.217	40.063	40.909	41.362	41.67	42.125	42.421	42.979	43.937
107	1	40.0974	0.03129	36.22	37.179	37.738	38.034	38.49	38.797	39.251	40.097	40.944	41.398	41.705	42.161	42.457	43.016	43.975
108	1	40.1316	0.03128	36.252	37.211	37.771	38.067	38.523	38.831	39.285	40.132	40.978	41.433	41.74	42.196	42.493	43.052	44.011
109	1	40.1656	0.03127	36.284	37.244	37.803	38.1	38.556	38.864	39.318	40.166	41.013	41.467	41.775	42.232	42.528	43.087	44.047
110	1	40.1994	0.03127	36.315	37.275	37.835	38.132	38.588	38.897	39.352	40.199	41.047	41.502	41.81	42.267	42.564	43.124	44.084
111	1	40.233	0.03126	36.346	37.307	37.868	38.164	38.621	38.929	39.385	40.233	41.081	41.537	41.845	42.302	42.598	43.159	44.12
112	1	40.2664	0.03125	36.378	37.339	37.9	38.197	38.654	38.962	39.418	40.266	41.115	41.571	41.879	42.336	42.633	43.194	44.155
113	1	40.2995	0.03125	36.408	37.37	37.931	38.228	38.686	38.994	39.45	40.3	41.149	41.605	41.913	42.371	42.668	43.229	44.191
114	1	40.3325	0.03124	36.439	37.401	37.963	38.26	38.718	39.027	39.483	40.333	41.182	41.638	41.947	42.405	42.702	43.264	44.226
115	1	40.3653	0.03123	36.47	37.433	37.994	38.292	38.75	39.059	39.515	40.365	41.216	41.672	41.981	42.439	42.736	43.298	44.261
116	1	40.3979	0.03123	36.499	37.463	38.025	38.323	38.781	39.09	39.547	40.398	41.249	41.705	42.015	42.473	42.771	43.333	44.297
117	1	40.4303	0.03122	36.53	37.494	38.056	38.354	38.813	39.122	39.579	40.43	41.282	41.739	42.048	42.506	42.804	43.367	44.331
118	1	40.4625	0.03121	36.56	37.525	38.087	38.385	38.844	39.154	39.611	40.463	41.314	41.771	42.081	42.54	42.838	43.4	44.365
119	1	40.4946	0.03121	36.589	37.554	38.118	38.416	38.875	39.185	39.642	40.495	41.347	41.804	42.114	42.573	42.872	43.435	44.4
120	1	40.5264	0.0312	36.619	37.585	38.148	38.447	38.906	39.216	39.674	40.526	41.379	41.837	42.147	42.606	42.905	43.468	44.434
121	1	40.5581	0.0312	36.648	37.614	38.178	38.477	38.936	39.247	39.705	40.558	41.412	41.87	42.18	42.64	42.938	43.502	44.469
122	1	40.5895	0.03119	36.677	37.644	38.208	38.507	38.967	39.277	39.736	40.59	41.443	41.902	42.212	42.672	42.971	43.535	44.502
123	1	40.6208	0.03118	36.707	37.674	38.239	38.537	38.998	39.308	39.767	40.621	41.475	41.934	42.244	42.704	43.003	43.567	44.535
124	1	40.6519	0.03118	36.735	37.703	38.268	38.567	39.027	39.338	39.797	40.652	41.507	41.966	42.276	42.737	43.036	43.601	44.569
125	1	40.6829	0.03117	36.764	37.733	38.298	38.597	39.058	39.369	39.828	40.683	41.538	41.997	42.308	42.769	43.068	43.633	44.602
126	1	40.7136	0.03117	36.792	37.761	38.327	38.626	39.087	39.398	39.858	40.714	41.57	42.029	42.34	42.801	43.1	43.666	44.635
127	1	40.7442	0.03116	36.821	37.791	38.356	38.656	39.117	39.428	39.888	40.744	41.601	42.06	42.371	42.832	43.132	43.698	44.668
128	1	40.7746	0.03115	36.85	37.82	38.386	38.685	39.147	39.458	39.918	40.775	41.631	42.091	42.402	42.864	43.163	43.729	44.7
129	1	40.8048	0.03115	36.877	37.848	38.414	38.714	39.176	39.487	39.947	40.805	41.662	42.122	42.434	42.896	43.195	43.762	44.733
130	1	40.8348	0.03114	36.905	37.877	38.443	38.743	39.205	39.517	39.977	40.835	41.692	42.153	42.464	42.926	43.226	43.793	44.764
131	1	40.8647	0.03114	36.932	37.904	38.471	38.772	39.234	39.546	40.006	40.865	41.723	42.184	42.496	42.958	43.258	43.825	44.797
132	1	40.8944	0.03113	36.96	37.933	38.5	38.8	39.263	39.575	40.036	40.894	41.753	42.214	42.526	42.988	43.289	43.856	44.828
133	1	40.9239	0.03112	36.988	37.961	38.529	38.829	39.292	39.604	40.065	40.924	41.783	42.244	42.556	43.019	43.319	43.887	44.859
134	1	40.9533	0.03112	37.015	37.988	38.556	38.857	39.32	39.632	40.094	40.953	41.813	42.274	42.587	43.05	43.35	43.918	44.892
135	1	40.9824	0.03111	37.042	38.016	38.584	38.885	39.348	39.661	40.122	40.982	41.842	42.304	42.616	43.08	43.38	43.948	44.922
136	1	41.0115	0.03111	37.069	38.043	38.612	38.913	39.376	39.689	40.151	41.012	41.872	42.334	42.647	43.11	43.411	43.98	44.954
137	1	41.0403	0.0311	37.096	38.071	38.64	38.941	39.405	39.717	40.179	41.04	41.901	42.363	42.676	43.14	43.441	44.01	44.985
138	1	41.069	0.0311	37.122	38.098	38.667	38.968	39.432	39.745	40.208	41.069	41.93	42.393	42.706	43.17	43.471	44.04	45.016
139	1	41.0975	0.03109	37.149	38.125	38.694	38.996	39.46	39.773	40.236	41.098	41.959	42.422	42.735	43.199	43.501	44.07	45.046
140	1	41.1259	0.03108	37.176	38.152	38.722	39.023	39.488	39.801	40.264	41.126	41.988	42.451	42.764	43.228	43.53	44.099	45.076
141	1	41.1541	0.03108	37.201	38.179	38.748	39.05	39.515	39.828	40.291	41.154	42.017	42.48	42.793	43.258	43.56	44.13	45.107
142	1	41.1821	0.03107	37.228	38.205	38.776	39.077	39.542	39.856	40.319	41.182	42.045	42.508	42.822	43.287	43.589	44.159	45.136
143	1	41.21	0.03107	37.253	38.231	38.802	39.104	39.569	39.883	40.346	41.21	42.074	42.537	42.851	43.316	43.618	44.189	45.167
144	1	41.2378	0.03106	37.28	38.258	38.829	39.131	39.596	39.91	40.374	41.238	42.102	42.565	42.879	43.345	43.647	44.217	45.196
145	1	41.2653	0.03106	37.305	38.284	38.855	39.157	39.623	39.937	40.401	41.265	42.13	42.594	42.908	43.374	43.676	44.247	45.226
146	1	41.2927	0.03105	37.331	38.31	38.881	39.184	39.65	39.964	40.428	41.293	42.157	42.622	42.936	43.402	43.704	44.275	45.255
147	1	41.32	0.03105	37.355	38.335	38.907	39.21	39.676	39.99	40.455	41.32	42.185	42.65	42.964	43.43	43.733	44.305	45.285
148	1	41.3471	0.03104	37.381	38.361	38.933	39.236	39.702	40.017	40.481	41.347	42.213	42.677	42.992	43.458	43.761	44.333	45.313
149	1	41.3741	0.03104	37.405	38.386	38.959	39.262	39.728	40.043	40.508	41.374	42.24	42.705	43.02	43.487	43.79	44.362	45.343
150	1	41.4009	0.03103	37.431	38.412	38.985	39.288	39.755	40.069	40.534	41.401	42.267	42.732	43.047	43.514	43.817	44.389	45.371
151	1	41.4275	0.03103	37.455	38.437	39.01	39.313	39.78	40.095	40.56	41.428	42.295	42.76	43.075	43.542	43.845	44.418	45.4
152	1	41.454	0.03102	37.48	38.463	39.035	39.339	39.806	40.121	40.587	41.454	42.321	42.787	43.102	43.569	43.873	44.445	45.428
153	1	41.4804	0.03102	37.504	38.487	39.06	39.364	39.831	40.147	40.613	41.48	42.348	42.814	43.129	43.597	43.9	44.474	45.457
154	1	41.5066	0.03101	37.529	38.512	39.086	39.389	39.857	40.173	40.638	41.507	42.375	42.841	43.156	43.624	43.927	44.501	45.484
155	1	41.5327	0.03101	37.553	38.537	39.11	39.414	39.882	40.198	40.664	41.533	42.401	42.868	43.183	43.651	43.955	44.529	45.513
156	1	41.5586	0.031	37.577	38.562	39.136	39.44	39.908	40.223	40.69	41.559	42.428	42.894	43.21	43.678	43.982	44.556	45.54
157	1	41.5844	0.03099	37.602	38.586	39.161	39.465	39.933	40.249	40.715	41.584	42.454	42.92	43.236	43.704	44.008	44.582	45.567
158	1	41.61	0.03099	37.625	38.61	39.185	39.489	39.957	40.274	40.74	41.61	42.48	42.946	43.263	43.731	44.035	44.61	45.595
159	1	41.6355	0.03098	37.65	38.635	39.21	39.514	39.982	40.299	40.765	41.636	42.506	42.972	43.289	43.757	44.061	44.636	45.621
160	1	41.6609	0.03098	37.672	38.658	39.233	39.538	40.007	40.323	40.79	41.661	42.531	42.999	43.315	43.784	44.088	44.663	45.649
161	1	41.6861	0.03098	37.695	38.682	39.257	39.562	40.031	40.348	40.815	41.686	42.557	43.025	43.341	43.81	44.115	44.69	45.677
162	1	41.7112	0.03097	37.719	38.706	39.282	39.586	40.056	40.372	40.84	41.711	42.583	43.05	43.367	43.836	44.141	44.716	45.703
163	1	41.7362	0.03097	37.742	38.729	39.305	39.61	40.08	40.397	40.864	41.736	42.608	43.076	43.393	43.862	44.167	44.743	45.731
164	1	41.761	0.03096	37.766	38.753	39.329	39.634	40.104	40.421	40.889	41.761	42.633	43.101	43.418	43.888	44.193	44.769	45.756
165	1	41.7857	0.03096	37.788	38.776	39.353	39.658	40.128	40.445	40.913	41.786	42.658	43.127	43.444	43.914	44.219	44.795	45.783
166	1	41.8102	0.03095	37.811	38.8	39.376	39.682	40.152	40.469	40.937	41.81	42.683	43.151	43.469	43.939	44.244	44.821	45.809
167	1	41.8346	0.03095	37.833	38.822	39.399	39.705	40.175	40.493	40.961	41.835	42.708	43.177	43.494	43.964	44.27	44.847	45.836
168	1	41.8589	0.03094	37.857	38.846	39.423	39.729	40.199	40.517	40.985	41.859	42.732	43.201	43.519	43.989	44.295	44.872	45.861
169	1	41.8831	0.03094	37.879	38.868	39.446	39.752	40.222	40.54	41.009	41.883	42.757	43.226	43.544	44.015	44.32	44.898	45.888
170	1	41.9071	0.03093	37.902	38.892	39.469	39.775	40.246	40.564	41.033	41.907	42.781	43.251	43.568	44.039	44.345	44.922	45.913
171	1	41.931	0.03093	37.923	38.914	39.492	39.798	40.269	40.587	41.056	41.931	42.806	43.275	43.593	44.064	44.37	44.948	45.939
172	1	41.9548	0.03092	37.946	38.937	39.515	39.821	40.292	40.61	41.08	41.955	42.83	43.299	43.617	44.089	44.395	44.973	45.964
173	1	41.9784	0.03092	37.967	38.959	39.537	39.843	40.315	40.633	41.103	41.978	42.854	43.324	43.642	44.113	44.42	44.998	45.989
174	1	42.0019	0.03091	37.99	38.982	39.56	39.866	40.338	40.656	41.126	42.002	42.878	43.347	43.666	44.137	44.444	45.022	46.014
175	1	42.0253	0.03091	38.011	39.003	39.582	39.889	40.361	40.679	41.149	42.025	42.901	43.372	43.69	44.162	44.468	45.047	46.04
176	1	42.0485	0.0309	38.033	39.026	39.605	39.911	40.383	40.702	41.172	42.049	42.925	43.395	43.714	44.186	44.492	45.071	46.064
177	1	42.0717	0.0309	38.054	39.047	39.627	39.933	40.406	40.724	41.195	42.072	42.949	43.419	43.738	44.21	44.517	45.096	46.089
178	1	42.0947	0.03089	38.076	39.07	39.649	39.956	40.428	40.747	41.218	42.095	42.972	43.442	43.761	44.234	44.54	45.12	46.113
179	1	42.1176	0.03089	38.097	39.091	39.671	39.978	40.45	40.769	41.24	42.118	42.995	43.466	43.785	44.258	44.565	45.144	46.138
180	1	42.1403	0.03089	38.118	39.112	39.692	39.999	40.472	40.791	41.262	42.14	43.018	43.489	43.809	44.281	44.589	45.169	46.163
181	1	42.163	0.03088	38.14	39.134	39.714	40.021	40.494	40.814	41.285	42.163	43.041	43.512	43.832	44.305	44.612	45.192	46.186
182	1	42.1855	0.03088	38.16	39.155	39.735	40.043	40.516	40.835	41.307	42.186	43.064	43.536	43.855	44.328	44.636	45.216	46.211
183	1	42.2079	0.03087	38.181	39.177	39.757	40.065	40.538	40.857	41.329	42.208	43.087	43.558	43.878	44.351	44.658	45.239	46.234
184	1	42.2302	0.03087	38.202	39.197	39.778	40.086	40.56	40.879	41.351	42.23	43.109	43.581	43.901	44.375	44.682	45.263	46.259
185	1	42.2523	0.03086	38.223	39.219	39.8	40.108	40.581	40.901	41.373	42.252	43.132	43.604	43.923	44.397	44.705	45.286	46.282
186	1	42.2744	0.03086	38.243	39.239	39.821	40.129	40.603	40.922	41.394	42.274	43.154	43.627	43.946	44.42	44.728	45.309	46.306
187	1	42.2963	0.03085	38.264	39.261	39.842	40.15	40.624	40.944	41.416	42.296	43.176	43.649	43.969	44.443	44.75	45.332	46.329
