Height	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
67.6	-0.3521	8.036	0.08215	6.301	6.679	6.914	7.042	7.247	7.389	7.607	8.036	8.498	8.762	8.946	9.229	9.42	9.794	10.484
67.7	-0.3521	8.0588	0.08215	6.319	6.698	6.933	7.062	7.267	7.41	7.628	8.059	8.523	8.786	8.971	9.255	9.446	9.822	10.514
67.8	-0.3521	8.0816	0.08216	6.337	6.717	6.953	7.082	7.288	7.431	7.65	8.082	8.547	8.811	8.997	9.282	9.473	9.85	10.544
67.9	-0.3521	8.1044	0.08217	6.355	6.736	6.972	7.102	7.308	7.452	7.672	8.104	8.571	8.836	9.022	9.308	9.5	9.878	10.574
68	-0.3521	8.1272	0.08217	6.373	6.755	6.992	7.122	7.329	7.473	7.693	8.127	8.595	8.861	9.048	9.334	9.527	9.906	10.604
68.1	-0.3521	8.15	0.08218	6.39	6.773	7.011	7.142	7.349	7.494	7.715	8.15	8.619	8.886	9.073	9.361	9.554	9.934	10.634
68.2	-0.3521	8.1727	0.08219	6.408	6.792	7.031	7.162	7.37	7.515	7.736	8.173	8.643	8.911	9.099	9.387	9.581	9.962	10.664
68.3	-0.3521	8.1955	0.08219	6.426	6.811	7.05	7.182	7.39	7.536	7.758	8.196	8.667	8.936	9.124	9.413	9.607	9.989	10.694
68.4	-0.3521	8.2183	0.0822	6.443	6.83	7.07	7.201	7.411	7.557	7.779	8.218	8.692	8.961	9.15	9.439	9.634	10.017	10.724
68.5	-0.3521	8.241	0.08221	6.461	6.849	7.089	7.221	7.431	7.577	7.801	8.241	8.716	8.986	9.175	9.466	9.661	10.045	10.754
68.6	-0.3521	8.2638	0.08222	6.479	6.867	7.109	7.241	7.452	7.598	7.822	8.264	8.74	9.011	9.201	9.492	9.688	10.073	10.784
68.7	-0.3521	8.2865	0.08223	6.496	6.886	7.128	7.261	7.472	7.619	7.844	8.287	8.764	9.035	9.226	9.518	9.715	10.101	10.814
68.8	-0.3521	8.3092	0.08224	6.514	6.905	7.147	7.281	7.492	7.64	7.865	8.309	8.788	9.06	9.251	9.544	9.742	10.129	10.844
68.9	-0.3521	8.332	0.08225	6.532	6.924	7.167	7.3	7.513	7.661	7.887	8.332	8.812	9.085	9.277	9.571	9.769	10.157	10.874
69	-0.3521	8.3547	0.08226	6.549	6.942	7.186	7.32	7.533	7.682	7.908	8.355	8.836	9.11	9.302	9.597	9.795	10.185	10.904
69.1	-0.3521	8.3774	0.08227	6.567	6.961	7.206	7.34	7.554	7.702	7.929	8.377	8.86	9.135	9.328	9.623	9.822	10.213	10.934
69.2	-0.3521	8.4001	0.08228	6.585	6.98	7.225	7.36	7.574	7.723	7.951	8.4	8.884	9.16	9.353	9.65	9.849	10.241	10.964
69.3	-0.3521	8.4227	0.08229	6.602	6.998	7.244	7.379	7.594	7.744	7.972	8.423	8.908	9.185	9.378	9.676	9.876	10.269	10.994
69.4	-0.3521	8.4454	0.0823	6.62	7.017	7.264	7.399	7.615	7.765	7.994	8.445	8.932	9.209	9.404	9.702	9.903	10.297	11.024
69.5	-0.3521	8.468	0.08231	6.637	7.036	7.283	7.419	7.635	7.785	8.015	8.468	8.956	9.234	9.429	9.728	9.929	10.325	11.054
69.6	-0.3521	8.4906	0.08232	6.655	7.054	7.302	7.439	7.655	7.806	8.036	8.491	8.98	9.259	9.454	9.754	9.956	10.352	11.084
69.7	-0.3521	8.5132	0.08233	6.672	7.073	7.322	7.458	7.675	7.827	8.058	8.513	9.004	9.284	9.48	9.78	9.983	10.38	11.114
69.8	-0.3521	8.5358	0.08235	6.69	7.091	7.341	7.478	7.696	7.847	8.079	8.536	9.028	9.309	9.505	9.807	10.01	10.408	11.144
69.9	-0.3521	8.5583	0.08236	6.707	7.11	7.36	7.497	7.716	7.868	8.1	8.558	9.052	9.333	9.53	9.833	10.036	10.436	11.174
70	-0.3521	8.5808	0.08237	6.724	7.128	7.379	7.517	7.736	7.889	8.121	8.581	9.076	9.358	9.555	9.859	10.063	10.464	11.203
70.1	-0.3521	8.6032	0.08238	6.742	7.147	7.398	7.537	7.756	7.909	8.143	8.603	9.1	9.382	9.58	9.885	10.089	10.491	11.233
70.2	-0.3521	8.6257	0.0824	6.759	7.165	7.418	7.556	7.776	7.93	8.164	8.626	9.124	9.407	9.606	9.911	10.116	10.519	11.263
70.3	-0.3521	8.648	0.08241	6.776	7.184	7.437	7.575	7.796	7.95	8.185	8.648	9.147	9.431	9.631	9.937	10.142	10.547	11.293
70.4	-0.3521	8.6704	0.08242	6.794	7.202	7.456	7.595	7.816	7.971	8.206	8.67	9.171	9.456	9.656	9.962	10.169	10.574	11.322
70.5	-0.3521	8.6927	0.08243	6.811	7.22	7.475	7.614	7.836	7.991	8.227	8.693	9.195	9.48	9.681	9.988	10.195	10.602	11.352
70.6	-0.3521	8.715	0.08245	6.828	7.239	7.494	7.634	7.856	8.011	8.248	8.715	9.218	9.505	9.706	10.014	10.222	10.63	11.382
70.7	-0.3521	8.7372	0.08246	6.845	7.257	7.513	7.653	7.876	8.032	8.269	8.737	9.242	9.529	9.731	10.04	10.248	10.657	11.411
70.8	-0.3521	8.7594	0.08248	6.862	7.275	7.531	7.672	7.896	8.052	8.29	8.759	9.266	9.554	9.756	10.066	10.274	10.684	11.441
70.9	-0.3521	8.7815	0.08249	6.879	7.293	7.55	7.691	7.916	8.072	8.311	8.782	9.289	9.578	9.78	10.091	10.301	10.712	11.47
71	-0.3521	8.8036	0.0825	6.897	7.311	7.569	7.711	7.936	8.092	8.332	8.804	9.313	9.602	9.805	10.117	10.327	10.739	11.499
71.1	-0.3521	8.8257	0.08252	6.913	7.329	7.588	7.73	7.955	8.112	8.352	8.826	9.336	9.626	9.83	10.143	10.353	10.766	11.529
71.2	-0.3521	8.8477	0.08253	6.93	7.348	7.607	7.749	7.975	8.133	8.373	8.848	9.359	9.65	9.855	10.168	10.379	10.794	11.558
71.3	-0.3521	8.8697	0.08254	6.948	7.366	7.625	7.768	7.995	8.153	8.394	8.87	9.383	9.675	9.879	10.194	10.405	10.821	11.587
71.4	-0.3521	8.8916	0.08256	6.964	7.384	7.644	7.787	8.014	8.173	8.415	8.892	9.406	9.699	9.904	10.219	10.431	10.848	11.617
71.5	-0.3521	8.9135	0.08257	6.981	7.402	7.663	7.806	8.034	8.193	8.435	8.914	9.429	9.723	9.928	10.244	10.457	10.875	11.646
71.6	-0.3521	8.9353	0.08259	6.998	7.419	7.681	7.825	8.053	8.213	8.456	8.935	9.452	9.747	9.953	10.27	10.483	10.902	11.675
71.7	-0.3521	8.9571	0.0826	7.015	7.437	7.7	7.844	8.073	8.233	8.476	8.957	9.476	9.771	9.977	10.295	10.509	10.929	11.704
71.8	-0.3521	8.9788	0.08262	7.031	7.455	7.718	7.863	8.092	8.252	8.497	8.979	9.499	9.794	10.002	10.32	10.535	10.956	11.733
71.9	-0.3521	9.0005	0.08263	7.048	7.473	7.737	7.881	8.112	8.272	8.517	9.001	9.522	9.818	10.026	10.346	10.56	10.983	11.762
72	-0.3521	9.0221	0.08264	7.065	7.491	7.755	7.9	8.131	8.292	8.538	9.022	9.545	9.842	10.05	10.371	10.586	11.009	11.79
72.1	-0.3521	9.0436	0.08266	7.081	7.508	7.773	7.919	8.15	8.312	8.558	9.044	9.567	9.866	10.075	10.396	10.612	11.036	11.819
72.2	-0.3521	9.0651	0.08267	7.098	7.526	7.792	7.938	8.17	8.331	8.578	9.065	9.59	9.889	10.099	10.42	10.637	11.063	11.848
72.3	-0.3521	9.0865	0.08269	7.114	7.543	7.81	7.956	8.189	8.351	8.598	9.087	9.613	9.913	10.123	10.445	10.663	11.089	11.876
72.4	-0.3521	9.1079	0.0827	7.131	7.561	7.828	7.975	8.208	8.37	8.618	9.108	9.636	9.936	10.147	10.47	10.688	11.116	11.905
72.5	-0.3521	9.1292	0.08272	7.147	7.578	7.846	7.993	8.227	8.39	8.638	9.129	9.658	9.96	10.171	10.495	10.713	11.142	11.933
72.6	-0.3521	9.1504	0.08273	7.164	7.596	7.864	8.012	8.246	8.409	8.658	9.15	9.681	9.983	10.195	10.52	10.738	11.168	11.962
72.7	-0.3521	9.1716	0.08274	7.18	7.613	7.882	8.03	8.265	8.429	8.678	9.172	9.703	10.006	10.218	10.544	10.763	11.195	11.99
72.8	-0.3521	9.1927	0.08276	7.196	7.63	7.9	8.048	8.284	8.448	8.698	9.193	9.726	10.029	10.242	10.569	10.789	11.221	12.018
72.9	-0.3521	9.2137	0.08277	7.212	7.648	7.918	8.066	8.302	8.467	8.718	9.214	9.748	10.052	10.266	10.593	10.813	11.247	12.046
73	-0.3521	9.2347	0.08278	7.228	7.665	7.936	8.085	8.321	8.486	8.738	9.235	9.77	10.075	10.289	10.617	10.838	11.273	12.074
73.1	-0.3521	9.2557	0.0828	7.245	7.682	7.954	8.103	8.34	8.505	8.758	9.256	9.793	10.098	10.313	10.642	10.863	11.299	12.102
73.2	-0.3521	9.2766	0.08281	7.261	7.699	7.971	8.121	8.359	8.524	8.777	9.277	9.815	10.121	10.336	10.666	10.888	11.325	12.13
73.3	-0.3521	9.2974	0.08283	7.277	7.716	7.989	8.139	8.377	8.543	8.797	9.297	9.837	10.144	10.36	10.69	10.913	11.351	12.158
73.4	-0.3521	9.3182	0.08284	7.293	7.733	8.007	8.157	8.396	8.562	8.817	9.318	9.859	10.167	10.383	10.715	10.938	11.376	12.185
73.5	-0.3521	9.339	0.08285	7.309	7.75	8.025	8.175	8.415	8.581	8.836	9.339	9.881	10.19	10.406	10.739	10.962	11.402	12.213
73.6	-0.3521	9.3597	0.08287	7.324	7.767	8.042	8.193	8.433	8.6	8.856	9.36	9.903	10.213	10.43	10.763	10.987	11.428	12.241
73.7	-0.3521	9.3803	0.08288	7.34	7.784	8.06	8.211	8.451	8.619	8.875	9.38	9.925	10.235	10.453	10.787	11.011	11.453	12.268
73.8	-0.3521	9.401	0.08289	7.356	7.801	8.077	8.229	8.47	8.638	8.895	9.401	9.947	10.258	10.476	10.811	11.036	11.479	12.296
73.9	-0.3521	9.4215	0.0829	7.372	7.818	8.095	8.247	8.488	8.657	8.914	9.422	9.969	10.28	10.499	10.834	11.06	11.504	12.323
74	-0.3521	9.442	0.08292	7.388	7.834	8.112	8.264	8.507	8.675	8.933	9.442	9.991	10.303	10.522	10.858	11.085	11.53	12.351
74.1	-0.3521	9.4625	0.08293	7.404	7.851	8.129	8.282	8.525	8.694	8.953	9.463	10.012	10.325	10.545	10.882	11.109	11.555	12.378
74.2	-0.3521	9.4829	0.08294	7.419	7.868	8.147	8.3	8.543	8.713	8.972	9.483	10.034	10.348	10.568	10.906	11.133	11.58	12.405
74.3	-0.3521	9.5032	0.08295	7.435	7.885	8.164	8.318	8.561	8.731	8.991	9.503	10.056	10.37	10.591	10.929	11.157	11.605	12.432
74.4	-0.3521	9.5235	0.08297	7.451	7.901	8.181	8.335	8.579	8.75	9.01	9.524	10.077	10.392	10.614	10.953	11.182	11.631	12.459
74.5	-0.3521	9.5438	0.08298	7.466	7.918	8.199	8.353	8.598	8.768	9.029	9.544	10.099	10.415	10.636	10.977	11.206	11.656	12.486
74.6	-0.3521	9.5639	0.08299	7.482	7.934	8.216	8.37	8.616	8.787	9.048	9.564	10.12	10.437	10.659	11	11.229	11.681	12.513
74.7	-0.3521	9.5841	0.083	7.497	7.951	8.233	8.388	8.634	8.805	9.067	9.584	10.142	10.459	10.682	11.023	11.253	11.706	12.54
74.8	-0.3521	9.6041	0.08301	7.513	7.967	8.25	8.405	8.652	8.824	9.086	9.604	10.163	10.481	10.704	11.047	11.277	11.73	12.567
74.9	-0.3521	9.6241	0.08302	7.528	7.984	8.267	8.422	8.67	8.842	9.105	9.624	10.184	10.503	10.726	11.07	11.301	11.755	12.593
75	-0.3521	9.644	0.08303	7.544	8	8.284	8.44	8.687	8.86	9.124	9.644	10.205	10.525	10.749	11.093	11.324	11.78	12.62
75.1	-0.3521	9.6639	0.08305	7.559	8.016	8.301	8.457	8.705	8.878	9.142	9.664	10.226	10.547	10.771	11.116	11.348	11.805	12.647
75.2	-0.3521	9.6836	0.08306	7.574	8.033	8.317	8.474	8.723	8.896	9.161	9.684	10.247	10.568	10.793	11.139	11.372	11.829	12.673
75.3	-0.3521	9.7033	0.08307	7.589	8.049	8.334	8.491	8.74	8.914	9.18	9.703	10.268	10.59	10.815	11.162	11.395	11.853	12.699
75.4	-0.3521	9.723	0.08307	7.604	8.065	8.351	8.508	8.758	8.932	9.198	9.723	10.289	10.611	10.837	11.184	11.418	11.877	12.725
75.5	-0.3521	9.7425	0.08308	7.619	8.081	8.368	8.525	8.776	8.95	9.217	9.743	10.31	10.633	10.859	11.207	11.441	11.901	12.751
75.6	-0.3521	9.762	0.08309	7.635	8.097	8.384	8.542	8.793	8.968	9.235	9.762	10.331	10.654	10.881	11.23	11.464	11.926	12.777
75.7	-0.3521	9.7814	0.0831	7.649	8.113	8.401	8.559	8.81	8.986	9.253	9.781	10.351	10.675	10.903	11.252	11.487	11.95	12.803
75.8	-0.3521	9.8007	0.08311	7.664	8.129	8.417	8.576	8.828	9.003	9.271	9.801	10.372	10.697	10.925	11.275	11.51	11.973	12.828
75.9	-0.3521	9.82	0.08312	7.679	8.145	8.434	8.593	8.845	9.021	9.29	9.82	10.392	10.718	10.946	11.297	11.533	11.997	12.854
76	-0.3521	9.8392	0.08312	7.694	8.161	8.45	8.609	8.862	9.039	9.308	9.839	10.412	10.739	10.968	11.319	11.556	12.021	12.879
76.1	-0.3521	9.8583	0.08313	7.709	8.176	8.466	8.626	8.879	9.056	9.326	9.858	10.433	10.76	10.989	11.341	11.578	12.044	12.904
76.2	-0.3521	9.8773	0.08314	7.724	8.192	8.483	8.642	8.896	9.073	9.344	9.877	10.453	10.781	11.01	11.363	11.601	12.068	12.93
76.3	-0.3521	9.8963	0.08314	7.738	8.208	8.499	8.659	8.913	9.091	9.362	9.896	10.473	10.801	11.032	11.385	11.623	12.091	12.955
76.4	-0.3521	9.9152	0.08315	7.753	8.223	8.515	8.675	8.93	9.108	9.38	9.915	10.493	10.822	11.053	11.407	11.646	12.115	12.98
76.5	-0.3521	9.9341	0.08315	7.768	8.239	8.531	8.692	8.947	9.126	9.397	9.934	10.513	10.843	11.074	11.429	11.668	12.138	13.005
76.6	-0.3521	9.9528	0.08316	7.782	8.254	8.547	8.708	8.964	9.143	9.415	9.953	10.533	10.863	11.095	11.451	11.69	12.161	13.03
76.7	-0.3521	9.9716	0.08316	7.797	8.27	8.563	8.725	8.981	9.16	9.433	9.972	10.553	10.884	11.116	11.472	11.712	12.184	13.054
76.8	-0.3521	9.9902	0.08317	7.811	8.285	8.579	8.741	8.998	9.177	9.45	9.99	10.573	10.904	11.137	11.494	11.734	12.207	13.079
76.9	-0.3521	10.0088	0.08317	7.826	8.3	8.595	8.757	9.014	9.194	9.468	10.009	10.592	10.924	11.157	11.515	11.756	12.23	13.103
77	-0.3521	10.0274	0.08317	7.84	8.316	8.611	8.773	9.031	9.211	9.486	10.027	10.612	10.945	11.178	11.537	11.778	12.252	13.128
77.1	-0.3521	10.0459	0.08318	7.855	8.331	8.627	8.789	9.048	9.228	9.503	10.046	10.632	10.965	11.199	11.558	11.8	12.275	13.152
77.2	-0.3521	10.0643	0.08318	7.869	8.346	8.643	8.805	9.064	9.245	9.52	10.064	10.651	10.985	11.219	11.579	11.821	12.298	13.176
77.3	-0.3521	10.0827	0.08318	7.883	8.361	8.658	8.822	9.081	9.262	9.538	10.083	10.671	11.005	11.24	11.6	11.843	12.32	13.2
77.4	-0.3521	10.1011	0.08318	7.898	8.377	8.674	8.838	9.097	9.279	9.555	10.101	10.69	11.025	11.26	11.622	11.865	12.343	13.225
77.5	-0.3521	10.1194	0.08318	7.912	8.392	8.69	8.854	9.114	9.295	9.573	10.119	10.709	11.045	11.281	11.643	11.886	12.365	13.249
77.6	-0.3521	10.1377	0.08318	7.926	8.407	8.706	8.87	9.13	9.312	9.59	10.138	10.729	11.065	11.301	11.664	11.908	12.387	13.272
77.7	-0.3521	10.1559	0.08318	7.941	8.422	8.721	8.886	9.147	9.329	9.607	10.156	10.748	11.085	11.322	11.685	11.929	12.41	13.296
77.8	-0.3521	10.1741	0.08318	7.955	8.437	8.737	8.901	9.163	9.346	9.624	10.174	10.767	11.105	11.342	11.706	11.95	12.432	13.32
77.9	-0.3521	10.1923	0.08317	7.969	8.452	8.753	8.918	9.18	9.363	9.642	10.192	10.786	11.125	11.362	11.726	11.972	12.454	13.343
78	-0.3521	10.2105	0.08317	7.983	8.468	8.768	8.933	9.196	9.379	9.659	10.211	10.806	11.145	11.382	11.747	11.993	12.476	13.367
78.1	-0.3521	10.2286	0.08317	7.998	8.483	8.784	8.949	9.212	9.396	9.676	10.229	10.825	11.164	11.402	11.768	12.014	12.498	13.391
78.2	-0.3521	10.2468	0.08316	8.012	8.498	8.8	8.965	9.229	9.413	9.693	10.247	10.844	11.184	11.423	11.789	12.035	12.52	13.414
78.3	-0.3521	10.2649	0.08316	8.026	8.513	8.815	8.981	9.245	9.429	9.71	10.265	10.863	11.204	11.443	11.81	12.057	12.542	13.438
78.4	-0.3521	10.2831	0.08315	8.041	8.528	8.831	8.997	9.262	9.446	9.728	10.283	10.882	11.224	11.463	11.83	12.078	12.564	13.461
78.5	-0.3521	10.3012	0.08315	8.055	8.543	8.847	9.013	9.278	9.463	9.745	10.301	10.902	11.243	11.483	11.851	12.099	12.586	13.485
78.6	-0.3521	10.3194	0.08314	8.069	8.558	8.862	9.029	9.295	9.48	9.762	10.319	10.921	11.263	11.503	11.872	12.12	12.608	13.509
78.7	-0.3521	10.3376	0.08313	8.084	8.574	8.878	9.045	9.311	9.496	9.779	10.338	10.94	11.283	11.523	11.893	12.141	12.63	13.532
78.8	-0.3521	10.3558	0.08313	8.098	8.589	8.894	9.061	9.327	9.513	9.796	10.356	10.959	11.303	11.544	11.914	12.163	12.652	13.556
78.9	-0.3521	10.3741	0.08312	8.113	8.604	8.91	9.077	9.344	9.53	9.814	10.374	10.978	11.323	11.564	11.934	12.184	12.674	13.579
79	-0.3521	10.3923	0.08311	8.127	8.619	8.925	9.093	9.361	9.547	9.831	10.392	10.998	11.342	11.584	11.955	12.205	12.696	13.603
79.1	-0.3521	10.4107	0.0831	8.142	8.635	8.941	9.11	9.377	9.564	9.849	10.411	11.017	11.362	11.604	11.976	12.226	12.718	13.626
79.2	-0.3521	10.4291	0.08309	8.156	8.65	8.957	9.126	9.394	9.581	9.866	10.429	11.036	11.382	11.625	11.997	12.248	12.741	13.65
79.3	-0.3521	10.4475	0.08308	8.171	8.666	8.973	9.142	9.411	9.598	9.884	10.448	11.056	11.402	11.645	12.018	12.269	12.763	13.673
79.4	-0.3521	10.466	0.08307	8.186	8.681	8.989	9.158	9.427	9.615	9.901	10.466	11.075	11.422	11.666	12.039	12.291	12.785	13.697
79.5	-0.3521	10.4845	0.08305	8.201	8.697	9.006	9.175	9.444	9.632	9.919	10.485	11.095	11.442	11.686	12.06	12.312	12.807	13.72
79.6	-0.3521	10.5031	0.08304	8.215	8.713	9.022	9.191	9.461	9.649	9.936	10.503	11.114	11.462	11.706	12.081	12.333	12.829	13.744
79.7	-0.3521	10.5217	0.08303	8.23	8.728	9.038	9.208	9.478	9.666	9.954	10.522	11.134	11.483	11.727	12.102	12.355	12.852	13.768
79.8	-0.3521	10.5405	0.08301	8.245	8.744	9.054	9.225	9.495	9.684	9.972	10.541	11.154	11.503	11.748	12.124	12.377	12.874	13.792
79.9	-0.3521	10.5592	0.083	8.26	8.76	9.071	9.241	9.512	9.701	9.99	10.559	11.173	11.523	11.768	12.145	12.398	12.897	13.816
80	-0.3521	10.5781	0.08298	8.275	8.776	9.087	9.258	9.529	9.719	10.008	10.578	11.193	11.543	11.789	12.166	12.42	12.919	13.84
80.1	-0.3521	10.597	0.08297	8.29	8.792	9.103	9.275	9.547	9.736	10.026	10.597	11.213	11.564	11.81	12.188	12.442	12.942	13.864
80.2	-0.3521	10.6161	0.08295	8.306	8.808	9.12	9.292	9.564	9.754	10.044	10.616	11.233	11.585	11.831	12.209	12.464	12.964	13.888
80.3	-0.3521	10.6352	0.08293	8.321	8.824	9.137	9.309	9.581	9.772	10.062	10.635	11.253	11.605	11.852	12.231	12.486	12.987	13.912
80.4	-0.3521	10.6544	0.08291	8.337	8.841	9.154	9.326	9.599	9.79	10.08	10.654	11.273	11.626	11.873	12.253	12.508	13.01	13.936
80.5	-0.3521	10.6737	0.0829	8.352	8.857	9.171	9.343	9.617	9.807	10.099	10.674	11.294	11.647	11.894	12.274	12.53	13.033	13.961
80.6	-0.3521	10.6931	0.08288	8.368	8.873	9.188	9.36	9.634	9.825	10.117	10.693	11.314	11.668	11.916	12.296	12.553	13.056	13.985
80.7	-0.3521	10.7126	0.08286	8.383	8.89	9.205	9.377	9.652	9.844	10.136	10.713	11.335	11.689	11.937	12.318	12.575	13.079	14.01
80.8	-0.3521	10.7322	0.08284	8.399	8.907	9.222	9.395	9.67	9.862	10.154	10.732	11.355	11.71	11.959	12.34	12.597	13.103	14.035
80.9	-0.3521	10.752	0.08282	8.415	8.923	9.239	9.412	9.688	9.88	10.173	10.752	11.376	11.731	11.98	12.363	12.62	13.126	14.06
81	-0.3521	10.7718	0.08279	8.431	8.94	9.257	9.43	9.706	9.899	10.192	10.772	11.397	11.752	12.002	12.385	12.643	13.149	14.084
81.1	-0.3521	10.7918	0.08277	8.448	8.957	9.274	9.448	9.724	9.917	10.211	10.792	11.418	11.774	12.024	12.408	12.666	13.173	14.109
81.2	-0.3521	10.8119	0.08275	8.464	8.974	9.292	9.466	9.743	9.936	10.231	10.812	11.439	11.796	12.046	12.43	12.689	13.197	14.134
81.3	-0.3521	10.8321	0.08273	8.48	8.992	9.309	9.484	9.761	9.955	10.25	10.832	11.46	11.817	12.068	12.453	12.712	13.221	14.16
81.4	-0.3521	10.8524	0.0827	8.497	9.009	9.327	9.502	9.78	9.974	10.269	10.852	11.481	11.839	12.09	12.476	12.735	13.245	14.185
81.5	-0.3521	10.8728	0.08268	8.513	9.026	9.345	9.52	9.799	9.993	10.289	10.873	11.503	11.861	12.113	12.499	12.758	13.269	14.211
81.6	-0.3521	10.8934	0.08265	8.53	9.044	9.363	9.539	9.817	10.012	10.308	10.893	11.524	11.883	12.135	12.522	12.782	13.293	14.236
81.7	-0.3521	10.9142	0.08263	8.547	9.062	9.382	9.557	9.836	10.031	10.328	10.914	11.546	11.906	12.158	12.545	12.806	13.318	14.262
81.8	-0.3521	10.935	0.0826	8.564	9.08	9.4	9.576	9.856	10.051	10.348	10.935	11.568	11.928	12.181	12.568	12.829	13.342	14.288
81.9	-0.3521	10.956	0.08258	8.581	9.097	9.418	9.595	9.875	10.07	10.368	10.956	11.59	11.951	12.204	12.592	12.853	13.367	14.315
82	-0.3521	10.9772	0.08255	8.598	9.116	9.437	9.614	9.894	10.09	10.388	10.977	11.612	11.973	12.227	12.616	12.878	13.392	14.341
82.1	-0.3521	10.9985	0.08252	8.615	9.134	9.456	9.633	9.914	10.11	10.409	10.999	11.634	11.996	12.25	12.64	12.902	13.417	14.367
82.2	-0.3521	11.0199	0.08249	8.633	9.152	9.475	9.652	9.933	10.13	10.429	11.02	11.657	12.019	12.273	12.664	12.926	13.442	14.394
82.3	-0.3521	11.0415	0.08246	8.651	9.171	9.494	9.671	9.953	10.15	10.45	11.042	11.679	12.042	12.297	12.688	12.951	13.467	14.42
