Length	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
50.9	-0.3521	3.5161	0.08837	2.709	2.883	2.992	3.051	3.147	3.213	3.315	3.516	3.734	3.859	3.947	4.082	4.173	4.353	4.685
51	-0.3521	3.5376	0.08831	2.726	2.901	3.01	3.07	3.166	3.233	3.335	3.538	3.757	3.883	3.971	4.106	4.198	4.378	4.713
51.1	-0.3521	3.5593	0.08825	2.743	2.919	3.029	3.089	3.186	3.253	3.356	3.559	3.78	3.906	3.995	4.131	4.223	4.405	4.741
51.2	-0.3521	3.5812	0.08819	2.761	2.938	3.048	3.109	3.206	3.273	3.376	3.581	3.803	3.93	4.019	4.156	4.249	4.431	4.769
51.3	-0.3521	3.6032	0.08813	2.778	2.956	3.067	3.128	3.225	3.293	3.397	3.603	3.826	3.954	4.043	4.181	4.274	4.458	4.798
51.4	-0.3521	3.6254	0.08807	2.796	2.975	3.086	3.148	3.246	3.314	3.418	3.625	3.85	3.978	4.068	4.207	4.3	4.484	4.826
51.5	-0.3521	3.6477	0.08801	2.813	2.993	3.106	3.167	3.266	3.334	3.44	3.648	3.873	4.002	4.093	4.232	4.326	4.511	4.855
51.6	-0.3521	3.6702	0.08795	2.831	3.012	3.125	3.187	3.286	3.355	3.461	3.67	3.897	4.026	4.118	4.258	4.352	4.538	4.884
51.7	-0.3521	3.6929	0.08789	2.849	3.031	3.145	3.207	3.307	3.376	3.482	3.693	3.921	4.051	4.143	4.284	4.379	4.566	4.913
51.8	-0.3521	3.7157	0.08783	2.867	3.05	3.165	3.227	3.327	3.397	3.504	3.716	3.945	4.076	4.168	4.31	4.405	4.593	4.942
51.9	-0.3521	3.7388	0.08777	2.886	3.07	3.185	3.248	3.348	3.419	3.526	3.739	3.969	4.101	4.193	4.336	4.432	4.621	4.972
52	-0.3521	3.762	0.08771	2.904	3.089	3.205	3.268	3.369	3.44	3.548	3.762	3.994	4.126	4.219	4.362	4.459	4.649	5.002
52.1	-0.3521	3.7855	0.08765	2.923	3.109	3.225	3.289	3.391	3.462	3.57	3.786	4.019	4.152	4.245	4.389	4.486	4.678	5.032
52.2	-0.3521	3.8092	0.08759	2.941	3.129	3.246	3.31	3.412	3.484	3.593	3.809	4.044	4.177	4.271	4.416	4.514	4.706	5.063
52.3	-0.3521	3.833	0.08753	2.96	3.149	3.266	3.331	3.434	3.506	3.615	3.833	4.069	4.203	4.298	4.443	4.541	4.735	5.093
52.4	-0.3521	3.8571	0.08747	2.979	3.169	3.287	3.352	3.456	3.528	3.638	3.857	4.094	4.229	4.324	4.471	4.569	4.764	5.124
52.5	-0.3521	3.8814	0.08741	2.999	3.189	3.308	3.373	3.478	3.55	3.661	3.881	4.12	4.256	4.351	4.498	4.598	4.793	5.155
52.6	-0.3521	3.9059	0.08735	3.018	3.21	3.329	3.395	3.5	3.573	3.685	3.906	4.146	4.282	4.378	4.526	4.626	4.823	5.187
52.7	-0.3521	3.9306	0.08729	3.038	3.231	3.351	3.417	3.522	3.596	3.708	3.931	4.172	4.309	4.406	4.555	4.655	4.852	5.219
52.8	-0.3521	3.9555	0.08723	3.057	3.251	3.372	3.439	3.545	3.619	3.732	3.956	4.198	4.336	4.433	4.583	4.684	4.882	5.251
52.9	-0.3521	3.9806	0.08717	3.077	3.273	3.394	3.461	3.567	3.642	3.756	3.981	4.224	4.363	4.461	4.612	4.713	4.913	5.283
53	-0.3521	4.006	0.08711	3.098	3.294	3.416	3.483	3.591	3.665	3.78	4.006	4.251	4.391	4.489	4.64	4.742	4.943	5.315
53.1	-0.3521	4.0315	0.08705	3.118	3.315	3.438	3.506	3.614	3.689	3.804	4.032	4.278	4.419	4.517	4.67	4.772	4.974	5.348
53.2	-0.3521	4.0572	0.08699	3.138	3.337	3.461	3.529	3.637	3.713	3.828	4.057	4.305	4.446	4.546	4.699	4.802	5.005	5.381
53.3	-0.3521	4.0831	0.08693	3.159	3.359	3.483	3.551	3.66	3.737	3.853	4.083	4.332	4.475	4.575	4.728	4.832	5.036	5.414
53.4	-0.3521	4.1092	0.08687	3.179	3.38	3.506	3.574	3.684	3.761	3.878	4.109	4.36	4.503	4.603	4.758	4.862	5.068	5.448
53.5	-0.3521	4.1354	0.08681	3.2	3.402	3.528	3.598	3.708	3.785	3.903	4.135	4.387	4.531	4.632	4.788	4.893	5.099	5.481
53.6	-0.3521	4.1619	0.08675	3.221	3.425	3.551	3.621	3.732	3.809	3.928	4.162	4.415	4.56	4.662	4.818	4.923	5.131	5.515
53.7	-0.3521	4.1885	0.08669	3.242	3.447	3.574	3.644	3.756	3.834	3.953	4.189	4.443	4.589	4.691	4.848	4.954	5.163	5.55
53.8	-0.3521	4.2153	0.08663	3.264	3.47	3.598	3.668	3.78	3.859	3.978	4.215	4.472	4.618	4.721	4.879	4.985	5.195	5.584
53.9	-0.3521	4.2422	0.08657	3.285	3.492	3.621	3.692	3.805	3.884	4.004	4.242	4.5	4.647	4.751	4.909	5.017	5.228	5.618
54	-0.3521	4.2693	0.08651	3.307	3.515	3.645	3.716	3.829	3.909	4.03	4.269	4.529	4.677	4.78	4.94	5.048	5.26	5.653
54.1	-0.3521	4.2965	0.08645	3.328	3.538	3.668	3.74	3.854	3.934	4.056	4.297	4.557	4.706	4.811	4.971	5.08	5.293	5.688
54.2	-0.3521	4.3239	0.08639	3.35	3.561	3.692	3.764	3.879	3.959	4.082	4.324	4.586	4.736	4.841	5.002	5.111	5.326	5.723
54.3	-0.3521	4.3513	0.08633	3.372	3.584	3.716	3.788	3.904	3.984	4.108	4.351	4.615	4.765	4.871	5.034	5.143	5.359	5.758
54.4	-0.3521	4.3789	0.08627	3.394	3.607	3.74	3.813	3.929	4.01	4.134	4.379	4.644	4.795	4.902	5.065	5.175	5.392	5.794
54.5	-0.3521	4.4066	0.08621	3.416	3.63	3.764	3.837	3.954	4.035	4.16	4.407	4.673	4.825	4.932	5.097	5.207	5.425	5.829
54.6	-0.3521	4.4344	0.08615	3.438	3.654	3.788	3.862	3.979	4.061	4.187	4.434	4.703	4.856	4.963	5.128	5.24	5.459	5.865
54.7	-0.3521	4.4623	0.0861	3.46	3.677	3.812	3.886	4.004	4.087	4.213	4.462	4.732	4.886	4.994	5.16	5.272	5.492	5.9
54.8	-0.3521	4.4903	0.08604	3.483	3.701	3.836	3.911	4.03	4.113	4.24	4.49	4.761	4.916	5.025	5.192	5.304	5.526	5.936
54.9	-0.3521	4.5185	0.08598	3.505	3.724	3.861	3.936	4.056	4.139	4.266	4.519	4.791	4.947	5.056	5.224	5.337	5.56	5.972
55	-0.3521	4.5467	0.08592	3.527	3.748	3.885	3.961	4.081	4.165	4.293	4.547	4.821	4.977	5.087	5.256	5.37	5.594	6.008
55.1	-0.3521	4.575	0.08586	3.55	3.772	3.91	3.986	4.107	4.191	4.32	4.575	4.851	5.008	5.118	5.288	5.403	5.628	6.045
55.2	-0.3521	4.6034	0.0858	3.573	3.796	3.935	4.011	4.133	4.217	4.347	4.603	4.881	5.039	5.15	5.32	5.435	5.662	6.081
55.3	-0.3521	4.6319	0.08575	3.595	3.82	3.959	4.036	4.158	4.244	4.374	4.632	4.911	5.07	5.181	5.353	5.469	5.696	6.117
55.4	-0.3521	4.6605	0.08569	3.618	3.844	3.984	4.062	4.184	4.27	4.401	4.661	4.941	5.101	5.213	5.385	5.502	5.731	6.154
55.5	-0.3521	4.6892	0.08563	3.641	3.868	4.009	4.087	4.211	4.297	4.429	4.689	4.971	5.132	5.244	5.418	5.535	5.765	6.191
55.6	-0.3521	4.718	0.08558	3.664	3.892	4.034	4.112	4.237	4.323	4.456	4.718	5.001	5.163	5.276	5.451	5.568	5.8	6.228
55.7	-0.3521	4.7469	0.08552	3.687	3.917	4.059	4.138	4.263	4.35	4.483	4.747	5.032	5.194	5.308	5.484	5.602	5.834	6.264
55.8	-0.3521	4.7758	0.08546	3.71	3.941	4.085	4.164	4.289	4.377	4.511	4.776	5.062	5.225	5.34	5.516	5.635	5.869	6.301
55.9	-0.3521	4.8048	0.08541	3.733	3.965	4.11	4.189	4.316	4.404	4.538	4.805	5.093	5.257	5.372	5.549	5.669	5.904	6.338
56	-0.3521	4.8338	0.08535	3.756	3.99	4.135	4.215	4.342	4.431	4.566	4.834	5.123	5.288	5.404	5.582	5.702	5.939	6.375
56.1	-0.3521	4.8629	0.08529	3.779	4.014	4.16	4.241	4.368	4.457	4.594	4.863	5.154	5.32	5.436	5.615	5.736	5.973	6.412
56.2	-0.3521	4.892	0.08524	3.803	4.039	4.186	4.266	4.395	4.484	4.621	4.892	5.185	5.351	5.468	5.648	5.77	6.008	6.45
56.3	-0.3521	4.9212	0.08518	3.826	4.063	4.211	4.292	4.421	4.511	4.649	4.921	5.215	5.383	5.501	5.682	5.803	6.043	6.487
56.4	-0.3521	4.9504	0.08513	3.849	4.088	4.236	4.318	4.448	4.538	4.677	4.95	5.246	5.415	5.533	5.715	5.837	6.078	6.524
56.5	-0.3521	4.9796	0.08507	3.873	4.113	4.262	4.344	4.474	4.565	4.705	4.98	5.277	5.446	5.565	5.748	5.871	6.113	6.561
56.6	-0.3521	5.0088	0.08502	3.896	4.137	4.287	4.37	4.501	4.592	4.732	5.009	5.308	5.478	5.597	5.781	5.905	6.148	6.599
56.7	-0.3521	5.0381	0.08497	3.919	4.162	4.313	4.396	4.528	4.62	4.76	5.038	5.338	5.51	5.63	5.814	5.939	6.184	6.636
56.8	-0.3521	5.0673	0.08491	3.943	4.186	4.338	4.421	4.554	4.647	4.788	5.067	5.369	5.541	5.662	5.848	5.973	6.219	6.673
56.9	-0.3521	5.0966	0.08486	3.966	4.211	4.364	4.447	4.581	4.674	4.816	5.097	5.4	5.573	5.694	5.881	6.006	6.254	6.711
57	-0.3521	5.1259	0.08481	3.989	4.236	4.389	4.473	4.607	4.701	4.844	5.126	5.431	5.605	5.727	5.914	6.04	6.289	6.748
57.1	-0.3521	5.1551	0.08475	4.013	4.26	4.415	4.499	4.634	4.728	4.871	5.155	5.462	5.636	5.759	5.947	6.074	6.324	6.785
57.2	-0.3521	5.1844	0.0847	4.036	4.285	4.44	4.525	4.661	4.755	4.899	5.184	5.492	5.668	5.791	5.981	6.108	6.359	6.823
57.3	-0.3521	5.2137	0.08465	4.059	4.31	4.466	4.551	4.687	4.782	4.927	5.214	5.523	5.7	5.823	6.014	6.142	6.394	6.86
57.4	-0.3521	5.2429	0.0846	4.083	4.334	4.491	4.577	4.714	4.809	4.955	5.243	5.554	5.731	5.856	6.047	6.176	6.429	6.897
57.5	-0.3521	5.2721	0.08455	4.106	4.359	4.516	4.603	4.74	4.836	4.983	5.272	5.585	5.763	5.888	6.08	6.209	6.464	6.935
57.6	-0.3521	5.3014	0.08449	4.13	4.384	4.542	4.629	4.767	4.863	5.011	5.301	5.616	5.795	5.92	6.113	6.243	6.499	6.972
57.7	-0.3521	5.3306	0.08444	4.153	4.408	4.567	4.655	4.793	4.89	5.038	5.331	5.646	5.826	5.952	6.146	6.277	6.534	7.009
57.8	-0.3521	5.3598	0.08439	4.176	4.433	4.593	4.68	4.82	4.917	5.066	5.36	5.677	5.858	5.985	6.18	6.311	6.569	7.046
57.9	-0.3521	5.3889	0.08434	4.2	4.458	4.618	4.706	4.847	4.944	5.094	5.389	5.708	5.889	6.017	6.213	6.344	6.604	7.083
58	-0.3521	5.418	0.0843	4.223	4.482	4.643	4.732	4.873	4.971	5.121	5.418	5.738	5.921	6.049	6.246	6.378	6.639	7.12
58.1	-0.3521	5.4471	0.08425	4.246	4.507	4.669	4.758	4.899	4.998	5.149	5.447	5.769	5.952	6.081	6.279	6.412	6.674	7.157
58.2	-0.3521	5.4762	0.0842	4.269	4.531	4.694	4.784	4.926	5.025	5.177	5.476	5.8	5.984	6.113	6.312	6.445	6.708	7.194
58.3	-0.3521	5.5053	0.08415	4.293	4.556	4.719	4.809	4.952	5.052	5.204	5.505	5.83	6.015	6.145	6.345	6.479	6.743	7.231
58.4	-0.3521	5.5343	0.0841	4.316	4.58	4.745	4.835	4.979	5.079	5.232	5.534	5.861	6.047	6.177	6.378	6.512	6.778	7.268
58.5	-0.3521	5.5632	0.08406	4.339	4.605	4.77	4.861	5.005	5.106	5.259	5.563	5.891	6.078	6.209	6.41	6.546	6.813	7.305
58.6	-0.3521	5.5922	0.08401	4.362	4.629	4.795	4.886	5.031	5.133	5.287	5.592	5.922	6.109	6.241	6.443	6.579	6.847	7.342
58.7	-0.3521	5.621	0.08397	4.385	4.653	4.82	4.912	5.058	5.159	5.314	5.621	5.952	6.14	6.273	6.476	6.613	6.882	7.379
58.8	-0.3521	5.6499	0.08392	4.408	4.678	4.845	4.937	5.084	5.186	5.342	5.65	5.982	6.172	6.305	6.509	6.646	6.916	7.416
58.9	-0.3521	5.6787	0.08388	4.431	4.702	4.87	4.963	5.11	5.213	5.369	5.679	6.013	6.203	6.336	6.541	6.679	6.951	7.452
59	-0.3521	5.7074	0.08383	4.454	4.726	4.896	4.988	5.136	5.239	5.397	5.707	6.043	6.234	6.368	6.574	6.713	6.985	7.489
59.1	-0.3521	5.7361	0.08379	4.477	4.751	4.92	5.014	5.162	5.266	5.424	5.736	6.073	6.265	6.4	6.607	6.746	7.02	7.525
59.2	-0.3521	5.7647	0.08375	4.5	4.775	4.945	5.039	5.188	5.292	5.451	5.765	6.103	6.296	6.431	6.639	6.779	7.054	7.562
59.3	-0.3521	5.7933	0.0837	4.523	4.799	4.97	5.065	5.214	5.319	5.478	5.793	6.133	6.327	6.463	6.671	6.812	7.088	7.598
59.4	-0.3521	5.8217	0.08366	4.546	4.823	4.995	5.09	5.24	5.345	5.505	5.822	6.163	6.358	6.494	6.704	6.845	7.122	7.634
59.5	-0.3521	5.8501	0.08362	4.568	4.847	5.02	5.115	5.266	5.371	5.532	5.85	6.193	6.388	6.525	6.736	6.877	7.156	7.671
59.6	-0.3521	5.8784	0.08358	4.591	4.871	5.044	5.14	5.292	5.398	5.559	5.878	6.223	6.419	6.557	6.768	6.91	7.19	7.707
59.7	-0.3521	5.9067	0.08354	4.614	4.894	5.069	5.165	5.317	5.424	5.586	5.907	6.253	6.45	6.588	6.8	6.943	7.224	7.743
59.8	-0.3521	5.9348	0.0835	4.636	4.918	5.094	5.19	5.343	5.45	5.613	5.935	6.282	6.48	6.619	6.832	6.975	7.258	7.778
59.9	-0.3521	5.9628	0.08346	4.658	4.942	5.118	5.215	5.368	5.476	5.64	5.963	6.312	6.51	6.65	6.864	7.008	7.291	7.814
60	-0.3521	5.9907	0.08342	4.681	4.965	5.142	5.239	5.394	5.502	5.666	5.991	6.341	6.54	6.68	6.895	7.04	7.324	7.85
60.1	-0.3521	6.0185	0.08339	4.703	4.989	5.166	5.264	5.419	5.527	5.692	6.019	6.37	6.571	6.711	6.927	7.072	7.358	7.885
60.2	-0.3521	6.0461	0.08335	4.725	5.012	5.19	5.288	5.444	5.553	5.719	6.046	6.399	6.6	6.742	6.958	7.104	7.391	7.92
60.3	-0.3521	6.0737	0.08331	4.747	5.035	5.215	5.313	5.469	5.578	5.745	6.074	6.428	6.63	6.772	6.99	7.136	7.424	7.955
60.4	-0.3521	6.1011	0.08328	4.769	5.058	5.238	5.337	5.494	5.604	5.771	6.101	6.457	6.66	6.802	7.021	7.168	7.457	7.99
60.5	-0.3521	6.1284	0.08324	4.791	5.081	5.262	5.361	5.519	5.629	5.797	6.128	6.486	6.69	6.832	7.052	7.199	7.489	8.025
60.6	-0.3521	6.1556	0.08321	4.812	5.104	5.286	5.385	5.544	5.654	5.823	6.156	6.515	6.719	6.862	7.083	7.231	7.522	8.06
60.7	-0.3521	6.1827	0.08317	4.834	5.127	5.309	5.409	5.568	5.679	5.849	6.183	6.543	6.748	6.892	7.113	7.262	7.555	8.094
60.8	-0.3521	6.2096	0.08314	4.856	5.15	5.333	5.433	5.593	5.704	5.874	6.21	6.571	6.777	6.922	7.144	7.293	7.587	8.129
60.9	-0.3521	6.2365	0.08311	4.877	5.173	5.356	5.457	5.617	5.729	5.9	6.237	6.6	6.807	6.952	7.174	7.324	7.619	8.163
61	-0.3521	6.2632	0.08308	4.898	5.195	5.379	5.481	5.642	5.754	5.925	6.263	6.628	6.836	6.981	7.205	7.355	7.651	8.197
61.1	-0.3521	6.2899	0.08304	4.92	5.218	5.403	5.504	5.666	5.779	5.951	6.29	6.656	6.864	7.011	7.235	7.386	7.683	8.231
61.2	-0.3521	6.3164	0.08301	4.941	5.24	5.426	5.528	5.69	5.803	5.976	6.316	6.684	6.893	7.04	7.265	7.417	7.715	8.265
61.3	-0.3521	6.3428	0.08298	4.962	5.262	5.449	5.551	5.714	5.828	6.001	6.343	6.712	6.922	7.069	7.295	7.447	7.746	8.298
61.4	-0.3521	6.3692	0.08295	4.983	5.284	5.472	5.575	5.738	5.852	6.026	6.369	6.739	6.95	7.098	7.325	7.478	7.778	8.332
61.5	-0.3521	6.3954	0.08292	5.004	5.307	5.495	5.598	5.762	5.876	6.051	6.395	6.767	6.979	7.127	7.355	7.508	7.81	8.366
61.6	-0.3521	6.4215	0.0829	5.025	5.328	5.517	5.621	5.785	5.9	6.076	6.422	6.795	7.007	7.156	7.385	7.538	7.841	8.399
61.7	-0.3521	6.4475	0.08287	5.046	5.35	5.54	5.644	5.809	5.924	6.1	6.448	6.822	7.035	7.185	7.414	7.568	7.872	8.432
61.8	-0.3521	6.4735	0.08284	5.066	5.372	5.562	5.667	5.833	5.948	6.125	6.474	6.849	7.063	7.213	7.444	7.599	7.903	8.465
61.9	-0.3521	6.4993	0.08281	5.087	5.394	5.585	5.69	5.856	5.972	6.15	6.499	6.876	7.091	7.242	7.473	7.628	7.934	8.498
62	-0.3521	6.5251	0.08279	5.107	5.416	5.607	5.712	5.88	5.996	6.174	6.525	6.904	7.119	7.27	7.502	7.658	7.965	8.531
62.1	-0.3521	6.5508	0.08276	5.128	5.437	5.63	5.735	5.903	6.02	6.199	6.551	6.931	7.147	7.299	7.531	7.688	7.996	8.564
62.2	-0.3521	6.5764	0.08273	5.148	5.459	5.652	5.758	5.926	6.044	6.223	6.576	6.958	7.175	7.327	7.56	7.718	8.027	8.597
62.3	-0.3521	6.6019	0.08271	5.169	5.48	5.674	5.78	5.949	6.067	6.247	6.602	6.985	7.202	7.355	7.59	7.747	8.057	8.63
