Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
38	1	37.8034	0.03091	34.192	35.085	35.606	35.881	36.306	36.592	37.015	37.803	38.592	39.014	39.301	39.725	40.001	40.522	41.414
39	1	37.869	0.03086	34.258	35.15	35.671	35.947	36.371	36.658	37.081	37.869	38.657	39.08	39.367	39.791	40.067	40.588	41.48
40	1	37.9338	0.03081	34.322	35.215	35.736	36.011	36.436	36.722	37.145	37.934	38.722	39.145	39.432	39.856	40.132	40.653	41.545
41	1	37.9978	0.03076	34.386	35.279	35.8	36.075	36.5	36.786	37.209	37.998	38.786	39.209	39.496	39.92	40.196	40.717	41.61
42	1	38.0609	0.03072	34.448	35.341	35.862	36.138	36.562	36.849	37.272	38.061	38.85	39.273	39.559	39.984	40.26	40.781	41.674
43	1	38.1233	0.03067	34.51	35.403	35.924	36.2	36.625	36.911	37.335	38.123	38.912	39.335	39.622	40.047	40.322	40.843	41.737
44	1	38.185	0.03062	34.572	35.465	35.986	36.262	36.687	36.973	37.396	38.185	38.974	39.397	39.683	40.108	40.384	40.905	41.798
45	1	38.2459	0.03058	34.632	35.525	36.046	36.322	36.747	37.034	37.457	38.246	39.035	39.458	39.745	40.17	40.446	40.967	41.86
46	1	38.3061	0.03054	34.691	35.585	36.106	36.382	36.807	37.094	37.517	38.306	39.095	39.519	39.805	40.23	40.506	41.028	41.921
47	1	38.3655	0.03049	34.751	35.644	36.165	36.441	36.866	37.153	37.577	38.366	39.154	39.578	39.865	40.29	40.566	41.087	41.98
48	1	38.4243	0.03045	34.809	35.702	36.224	36.5	36.925	37.212	37.635	38.424	39.213	39.637	39.924	40.349	40.625	41.146	42.04
49	1	38.4824	0.03041	34.866	35.76	36.281	36.558	36.983	37.27	37.693	38.482	39.272	39.695	39.982	40.407	40.683	41.205	42.099
50	1	38.5399	0.03037	34.923	35.817	36.339	36.615	37.04	37.327	37.75	38.54	39.329	39.753	40.04	40.465	40.741	41.263	42.157
51	1	38.5968	0.03033	34.979	35.873	36.395	36.671	37.097	37.384	37.807	38.597	39.386	39.81	40.097	40.522	40.799	41.32	42.214
52	1	38.653	0.03029	35.035	35.929	36.451	36.727	37.153	37.44	37.863	38.653	39.443	39.866	40.153	40.579	40.855	41.377	42.271
53	1	38.7087	0.03025	35.09	35.985	36.506	36.783	37.208	37.495	37.919	38.709	39.498	39.922	40.209	40.635	40.911	41.433	42.327
54	1	38.7638	0.03021	35.145	36.04	36.561	36.838	37.263	37.55	37.974	38.764	39.554	39.978	40.265	40.69	40.966	41.488	42.383
55	1	38.8183	0.03018	35.198	36.093	36.615	36.891	37.317	37.604	38.028	38.818	39.608	40.033	40.32	40.745	41.022	41.544	42.439
56	1	38.8724	0.03014	35.252	36.147	36.669	36.945	37.371	37.658	38.082	38.872	39.663	40.087	40.374	40.8	41.076	41.598	42.493
57	1	38.9258	0.0301	35.305	36.2	36.722	36.999	37.424	37.711	38.136	38.926	39.716	40.14	40.427	40.853	41.129	41.652	42.547
58	1	38.9788	0.03007	35.357	36.252	36.774	37.051	37.477	37.764	38.188	38.979	39.769	40.194	40.481	40.907	41.183	41.705	42.601
59	1	39.0313	0.03003	35.409	36.305	36.827	37.103	37.529	37.816	38.241	39.031	39.822	40.246	40.533	40.959	41.236	41.758	42.653
60	1	39.0834	0.03	35.46	36.356	36.878	37.155	37.581	37.868	38.293	39.083	39.874	40.299	40.586	41.012	41.289	41.811	42.707
61	1	39.1349	0.02997	35.51	36.406	36.929	37.206	37.632	37.919	38.344	39.135	39.926	40.351	40.638	41.064	41.341	41.863	42.759
62	1	39.1861	0.02993	35.562	36.458	36.98	37.257	37.683	37.971	38.395	39.186	39.977	40.402	40.689	41.115	41.392	41.915	42.81
63	1	39.2368	0.0299	35.611	36.508	37.03	37.307	37.733	38.021	38.446	39.237	40.028	40.453	40.74	41.167	41.443	41.966	42.862
64	1	39.2871	0.02987	35.661	36.557	37.08	37.357	37.783	38.071	38.496	39.287	40.079	40.503	40.791	41.217	41.494	42.017	42.914
65	1	39.3369	0.02984	35.71	36.606	37.129	37.406	37.833	38.12	38.545	39.337	40.129	40.553	40.841	41.268	41.545	42.068	42.964
66	1	39.3863	0.02981	35.758	36.655	37.178	37.455	37.882	38.169	38.594	39.386	40.178	40.603	40.891	41.318	41.595	42.118	43.015
67	1	39.4353	0.02978	35.806	36.703	37.227	37.504	37.93	38.218	38.643	39.435	40.227	40.652	40.94	41.367	41.644	42.167	43.064
68	1	39.4838	0.02975	35.854	36.751	37.275	37.552	37.978	38.266	38.692	39.484	40.276	40.701	40.989	41.416	41.693	42.216	43.114
69	1	39.532	0.02972	35.901	36.799	37.322	37.599	38.026	38.314	38.74	39.532	40.324	40.75	41.038	41.465	41.742	42.265	43.163
70	1	39.5797	0.02969	35.948	36.846	37.37	37.647	38.074	38.362	38.787	39.58	40.372	40.798	41.086	41.513	41.79	42.313	43.211
71	1	39.6271	0.02966	35.995	36.893	37.417	37.694	38.121	38.409	38.834	39.627	40.42	40.845	41.133	41.56	41.838	42.361	43.259
72	1	39.674	0.02963	36.041	36.939	37.463	37.74	38.167	38.456	38.881	39.674	40.467	40.892	41.181	41.608	41.885	42.409	43.307
73	1	39.7206	0.02961	36.086	36.985	37.509	37.786	38.213	38.502	38.927	39.721	40.514	40.94	41.228	41.655	41.933	42.457	43.355
74	1	39.7668	0.02958	36.132	37.03	37.554	37.832	38.259	38.548	38.973	39.767	40.56	40.986	41.274	41.702	41.979	42.503	43.402
75	1	39.8127	0.02955	36.177	37.076	37.6	37.878	38.305	38.593	39.019	39.813	40.606	41.032	41.32	41.748	42.025	42.55	43.448
76	1	39.8581	0.02953	36.221	37.12	37.644	37.922	38.35	38.638	39.064	39.858	40.652	41.078	41.366	41.794	42.072	42.596	43.495
77	1	39.9033	0.0295	36.266	37.165	37.689	37.967	38.395	38.683	39.109	39.903	40.697	41.123	41.412	41.84	42.117	42.642	43.541
78	1	39.948	0.02948	36.309	37.208	37.733	38.011	38.439	38.727	39.154	39.948	40.742	41.169	41.457	41.885	42.163	42.688	43.587
79	1	39.9924	0.02945	36.353	37.252	37.777	38.055	38.483	38.772	39.198	39.992	40.787	41.213	41.502	41.93	42.208	42.732	43.632
80	1	40.0365	0.02943	36.395	37.295	37.82	38.098	38.526	38.815	39.242	40.037	40.831	41.258	41.547	41.975	42.253	42.778	43.678
81	1	40.0803	0.0294	36.439	37.339	37.864	38.142	38.57	38.859	39.286	40.08	40.875	41.302	41.59	42.019	42.297	42.822	43.722
82	1	40.1237	0.02938	36.481	37.381	37.907	38.185	38.613	38.902	39.329	40.124	40.919	41.345	41.634	42.063	42.341	42.866	43.767
83	1	40.1668	0.02936	36.522	37.423	37.949	38.227	38.655	38.945	39.371	40.167	40.962	41.389	41.678	42.107	42.385	42.91	43.811
84	1	40.2096	0.02933	36.565	37.466	37.991	38.27	38.698	38.987	39.414	40.21	41.005	41.432	41.721	42.149	42.428	42.953	43.854
85	1	40.2521	0.02931	36.606	37.508	38.033	38.312	38.74	39.029	39.456	40.252	41.048	41.475	41.764	42.193	42.471	42.997	43.898
86	1	40.2943	0.02929	36.647	37.549	38.075	38.353	38.782	39.071	39.498	40.294	41.09	41.518	41.807	42.236	42.514	43.04	43.941
87	1	40.3362	0.02927	36.688	37.59	38.116	38.394	38.823	39.113	39.54	40.336	41.133	41.56	41.849	42.278	42.557	43.083	43.985
88	1	40.3778	0.02925	36.728	37.63	38.156	38.435	38.864	39.154	39.581	40.378	41.174	41.602	41.891	42.32	42.599	43.125	44.028
89	1	40.4191	0.02922	36.769	37.672	38.198	38.476	38.906	39.195	39.622	40.419	41.216	41.643	41.933	42.362	42.64	43.167	44.069
90	1	40.4601	0.0292	36.809	37.712	38.238	38.517	38.946	39.236	39.663	40.46	41.257	41.685	41.974	42.403	42.682	43.209	44.111
91	1	40.5008	0.02918	36.849	37.751	38.278	38.557	38.986	39.276	39.704	40.501	41.298	41.726	42.015	42.445	42.724	43.25	44.153
92	1	40.5413	0.02916	36.888	37.791	38.318	38.597	39.026	39.316	39.744	40.541	41.339	41.767	42.056	42.486	42.765	43.291	44.195
93	1	40.5815	0.02914	36.927	37.83	38.357	38.636	39.066	39.356	39.784	40.582	41.379	41.807	42.097	42.527	42.806	43.333	44.236
94	1	40.6214	0.02912	36.966	37.87	38.397	38.676	39.105	39.395	39.824	40.621	41.419	41.847	42.137	42.567	42.846	43.373	44.277
95	1	40.6611	0.0291	37.005	37.908	38.436	38.715	39.145	39.435	39.863	40.661	41.459	41.887	42.177	42.607	42.887	43.414	44.318
96	1	40.7005	0.02908	37.043	37.947	38.474	38.754	39.184	39.474	39.902	40.701	41.499	41.927	42.217	42.647	42.927	43.454	44.358
97	1	40.7396	0.02907	37.08	37.985	38.512	38.792	39.222	39.512	39.941	40.74	41.538	41.967	42.257	42.688	42.967	43.495	44.399
98	1	40.7785	0.02905	37.118	38.023	38.55	38.83	39.26	39.551	39.979	40.779	41.578	42.006	42.297	42.727	43.007	43.534	44.439
99	1	40.8172	0.02903	37.156	38.061	38.589	38.868	39.299	39.589	40.018	40.817	41.616	42.045	42.336	42.766	43.046	43.574	44.479
100	1	40.8555	0.02901	37.193	38.098	38.626	38.906	39.337	39.627	40.056	40.856	41.655	42.084	42.374	42.805	43.085	43.613	44.518
101	1	40.8936	0.02899	37.23	38.136	38.664	38.944	39.374	39.665	40.094	40.894	41.693	42.122	42.413	42.844	43.123	43.651	44.557
102	1	40.9315	0.02898	37.266	38.172	38.701	38.98	39.411	39.702	40.131	40.932	41.732	42.161	42.452	42.883	43.162	43.691	44.597
103	1	40.9691	0.02896	37.303	38.209	38.738	39.018	39.449	39.739	40.169	40.969	41.769	42.199	42.49	42.921	43.201	43.729	44.636
104	1	41.0065	0.02894	37.339	38.246	38.775	39.055	39.486	39.777	40.206	41.007	41.807	42.236	42.527	42.958	43.238	43.767	44.674
105	1	41.0436	0.02893	37.374	38.281	38.81	39.091	39.522	39.813	40.243	41.044	41.844	42.274	42.565	42.997	43.277	43.806	44.713
106	1	41.0805	0.02891	37.41	38.318	38.847	39.127	39.558	39.85	40.279	41.081	41.882	42.311	42.603	43.034	43.314	43.843	44.751
107	1	41.1172	0.02889	37.446	38.354	38.883	39.163	39.595	39.886	40.316	41.117	41.918	42.348	42.64	43.071	43.351	43.881	44.788
108	1	41.1536	0.02888	37.481	38.389	38.918	39.199	39.63	39.922	40.352	41.154	41.955	42.385	42.677	43.109	43.389	43.919	44.826
109	1	41.1898	0.02886	37.516	38.424	38.954	39.235	39.666	39.958	40.388	41.19	41.992	42.422	42.713	43.145	43.426	43.955	44.863
110	1	41.2257	0.02885	37.55	38.459	38.989	39.269	39.701	39.993	40.423	41.226	42.028	42.458	42.75	43.182	43.463	43.993	44.901
111	1	41.2615	0.02883	37.585	38.494	39.024	39.305	39.737	40.029	40.459	41.262	42.064	42.494	42.786	43.218	43.499	44.029	44.938
112	1	41.297	0.02882	37.619	38.528	39.059	39.339	39.772	40.063	40.494	41.297	42.1	42.531	42.822	43.255	43.535	44.066	44.975
113	1	41.3323	0.0288	37.654	38.563	39.093	39.374	39.807	40.099	40.529	41.332	42.135	42.566	42.858	43.29	43.571	44.102	45.011
114	1	41.3673	0.02879	37.687	38.597	39.127	39.408	39.841	40.133	40.564	41.367	42.171	42.602	42.894	43.326	43.607	44.138	45.048
115	1	41.4022	0.02877	37.721	38.631	39.162	39.443	39.876	40.168	40.599	41.402	42.206	42.637	42.929	43.361	43.642	44.173	45.083
116	1	41.4368	0.02876	37.754	38.664	39.195	39.477	39.91	40.202	40.633	41.437	42.241	42.672	42.964	43.397	43.678	44.209	45.119
117	1	41.4712	0.02875	37.787	38.698	39.229	39.51	39.943	40.235	40.667	41.471	42.275	42.707	42.999	43.432	43.714	44.245	45.156
118	1	41.5054	0.02873	37.82	38.731	39.263	39.544	39.977	40.27	40.701	41.505	42.31	42.741	43.034	43.467	43.748	44.279	45.19
119	1	41.5394	0.02872	37.853	38.764	39.296	39.577	40.01	40.303	40.735	41.539	42.344	42.776	43.068	43.502	43.783	44.315	45.226
120	1	41.5731	0.02871	37.885	38.796	39.328	39.61	40.043	40.336	40.768	41.573	42.378	42.81	43.103	43.536	43.818	44.35	45.261
121	1	41.6067	0.02869	37.918	38.83	39.362	39.643	40.077	40.37	40.802	41.607	42.412	42.844	43.136	43.57	43.852	44.384	45.295
122	1	41.6401	0.02868	37.95	38.862	39.394	39.676	40.11	40.402	40.835	41.64	42.446	42.878	43.171	43.604	43.886	44.418	45.331
123	1	41.6732	0.02867	37.981	38.894	39.426	39.708	40.142	40.435	40.867	41.673	42.479	42.912	43.204	43.638	43.92	44.453	45.365
124	1	41.7062	0.02865	38.014	38.926	39.459	39.741	40.175	40.468	40.9	41.706	42.512	42.945	43.238	43.672	43.954	44.486	45.399
125	1	41.7389	0.02864	38.045	38.958	39.491	39.773	40.207	40.5	40.933	41.739	42.545	42.978	43.271	43.705	43.987	44.52	45.433
126	1	41.7715	0.02863	38.076	38.989	39.522	39.804	40.239	40.532	40.965	41.772	42.578	43.011	43.304	43.739	44.021	44.554	45.467
127	1	41.8038	0.02862	38.107	39.02	39.554	39.836	40.271	40.564	40.997	41.804	42.611	43.044	43.337	43.772	44.054	44.587	45.501
128	1	41.836	0.02861	38.137	39.052	39.585	39.867	40.302	40.595	41.029	41.836	42.643	43.077	43.37	43.805	44.087	44.62	45.535
129	1	41.868	0.02859	38.169	39.083	39.617	39.899	40.334	40.627	41.061	41.868	42.675	43.109	43.402	43.837	44.119	44.653	45.567
130	1	41.8997	0.02858	38.199	39.114	39.647	39.93	40.365	40.659	41.092	41.9	42.707	43.141	43.434	43.869	44.152	44.685	45.6
131	1	41.9313	0.02857	38.229	39.144	39.678	39.961	40.396	40.69	41.123	41.931	42.739	43.173	43.467	43.902	44.184	44.718	45.633
132	1	41.9627	0.02856	38.259	39.175	39.709	39.991	40.427	40.721	41.154	41.963	42.771	43.205	43.499	43.934	44.217	44.751	45.666
133	1	41.9939	0.02855	38.289	39.205	39.739	40.022	40.457	40.751	41.185	41.994	42.803	43.237	43.53	43.966	44.249	44.783	45.699
134	1	42.0249	0.02854	38.319	39.235	39.769	40.052	40.488	40.782	41.216	42.025	42.834	43.268	43.562	43.998	44.281	44.815	45.731
135	1	42.0557	0.02853	38.348	39.264	39.799	40.082	40.518	40.812	41.246	42.056	42.865	43.299	43.593	44.029	44.312	44.847	45.764
136	1	42.0864	0.02852	38.377	39.294	39.829	40.112	40.548	40.842	41.277	42.086	42.896	43.33	43.625	44.061	44.344	44.879	45.796
137	1	42.1168	0.02851	38.406	39.323	39.858	40.142	40.578	40.872	41.307	42.117	42.927	43.361	43.656	44.092	44.375	44.91	45.827
138	1	42.1471	0.0285	38.435	39.353	39.888	40.171	40.608	40.902	41.337	42.147	42.957	43.392	43.686	44.123	44.406	44.941	45.859
139	1	42.1772	0.02849	38.464	39.382	39.917	40.201	40.637	40.932	41.367	42.177	42.988	43.423	43.717	44.154	44.437	44.973	45.891
140	1	42.2071	0.02848	38.492	39.411	39.946	40.23	40.667	40.961	41.396	42.207	43.018	43.453	43.748	44.184	44.468	45.004	45.922
141	1	42.2368	0.02847	38.521	39.439	39.975	40.259	40.696	40.991	41.426	42.237	43.048	43.483	43.778	44.215	44.498	45.034	45.953
142	1	42.2664	0.02846	38.549	39.468	40.004	40.288	40.725	41.02	41.455	42.266	43.078	43.513	43.808	44.245	44.529	45.065	45.984
143	1	42.2957	0.02845	38.577	39.496	40.033	40.316	40.754	41.049	41.484	42.296	43.107	43.543	43.838	44.275	44.559	45.095	46.014
144	1	42.3249	0.02844	38.605	39.525	40.061	40.345	40.782	41.077	41.513	42.325	43.137	43.572	43.868	44.305	44.589	45.125	46.045
145	1	42.354	0.02843	38.633	39.553	40.089	40.373	40.811	41.106	41.542	42.354	43.166	43.602	43.897	44.335	44.619	45.155	46.075
146	1	42.3828	0.02842	38.661	39.581	40.117	40.402	40.839	41.134	41.57	42.383	43.195	43.631	43.926	44.364	44.648	45.185	46.105
147	1	42.4115	0.02841	38.688	39.608	40.145	40.43	40.867	41.163	41.599	42.412	43.224	43.66	43.956	44.393	44.678	45.215	46.135
148	1	42.44	0.0284	38.715	39.636	40.173	40.457	40.895	41.191	41.627	42.44	43.253	43.689	43.985	44.423	44.707	45.244	46.165
149	1	42.4684	0.02839	38.743	39.664	40.201	40.485	40.923	41.219	41.655	42.468	43.282	43.718	44.014	44.452	44.736	45.273	46.194
150	1	42.4965	0.02839	38.768	39.69	40.227	40.512	40.95	41.246	41.683	42.497	43.31	43.747	44.043	44.481	44.766	45.303	46.225
151	1	42.5246	0.02838	38.795	39.717	40.255	40.54	40.978	41.274	41.711	42.525	43.339	43.775	44.071	44.51	44.794	45.332	46.254
152	1	42.5524	0.02837	38.822	39.744	40.282	40.567	41.005	41.301	41.738	42.552	43.367	43.804	44.1	44.538	44.823	45.361	46.283
153	1	42.5801	0.02836	38.848	39.771	40.309	40.594	41.033	41.329	41.766	42.58	43.395	43.832	44.128	44.566	44.851	45.389	46.312
154	1	42.6076	0.02835	38.875	39.798	40.336	40.621	41.06	41.356	41.793	42.608	43.422	43.86	44.156	44.594	44.879	45.418	46.34
155	1	42.6349	0.02835	38.9	39.823	40.362	40.647	41.086	41.382	41.82	42.635	43.45	43.888	44.184	44.623	44.908	45.447	46.37
156	1	42.6621	0.02834	38.926	39.849	40.388	40.673	41.113	41.409	41.847	42.662	43.478	43.915	44.212	44.651	44.936	45.475	46.398
157	1	42.6892	0.02833	38.952	39.876	40.415	40.7	41.139	41.436	41.873	42.689	43.505	43.943	44.239	44.678	44.964	45.503	46.426
158	1	42.716	0.02832	38.978	39.902	40.441	40.726	41.166	41.462	41.9	42.716	43.532	43.97	44.266	44.706	44.991	45.53	46.454
159	1	42.7427	0.02832	39.002	39.927	40.466	40.752	41.191	41.488	41.926	42.743	43.559	43.997	44.294	44.734	45.019	45.559	46.483
160	1	42.7693	0.02831	39.028	39.953	40.492	40.778	41.218	41.514	41.953	42.769	43.586	44.024	44.321	44.761	45.047	45.586	46.511
161	1	42.7957	0.0283	39.053	39.978	40.518	40.804	41.244	41.54	41.979	42.796	43.613	44.051	44.348	44.788	45.074	45.613	46.538
162	1	42.8219	0.02829	39.078	40.004	40.543	40.829	41.269	41.566	42.005	42.822	43.639	44.077	44.374	44.815	45.1	45.64	46.566
163	1	42.848	0.02829	39.102	40.028	40.568	40.854	41.295	41.592	42.03	42.848	43.666	44.104	44.401	44.842	45.128	45.668	46.594
164	1	42.874	0.02828	39.127	40.053	40.594	40.88	41.32	41.617	42.056	42.874	43.692	44.131	44.428	44.868	45.154	45.695	46.621
165	1	42.8997	0.02827	39.152	40.078	40.619	40.905	41.345	41.643	42.082	42.9	43.718	44.157	44.454	44.895	45.181	45.721	46.647
166	1	42.9254	0.02827	39.175	40.102	40.643	40.929	41.37	41.668	42.107	42.925	43.744	44.183	44.481	44.921	45.208	45.748	46.675
167	1	42.9509	0.02826	39.2	40.127	40.668	40.954	41.395	41.693	42.132	42.951	43.77	44.209	44.506	44.947	45.234	45.775	46.702
168	1	42.9762	0.02825	39.224	40.152	40.693	40.979	41.42	41.718	42.157	42.976	43.795	44.235	44.532	44.973	45.26	45.801	46.728
169	1	43.0014	0.02825	39.247	40.175	40.717	41.003	41.445	41.742	42.182	43.001	43.821	44.26	44.558	45	45.286	45.827	46.755
170	1	43.0264	0.02824	39.272	40.2	40.741	41.028	41.469	41.767	42.207	43.026	43.846	44.286	44.584	45.025	45.312	45.853	46.781
171	1	43.0513	0.02823	39.296	40.224	40.765	41.052	41.494	41.792	42.232	43.051	43.871	44.311	44.609	45.05	45.337	45.879	46.807
172	1	43.0761	0.02823	39.318	40.247	40.789	41.076	41.518	41.816	42.256	43.076	43.896	44.336	44.635	45.076	45.363	45.905	46.834
173	1	43.1007	0.02822	39.342	40.271	40.813	41.1	41.542	41.84	42.28	43.101	43.921	44.361	44.659	45.101	45.388	45.93	46.859
174	1	43.1252	0.02822	39.364	40.294	40.836	41.123	41.566	41.864	42.304	43.125	43.946	44.387	44.685	45.127	45.414	45.956	46.886
175	1	43.1495	0.02821	39.388	40.318	40.86	41.147	41.59	41.888	42.328	43.15	43.971	44.411	44.709	45.152	45.439	45.981	46.911
176	1	43.1737	0.0282	39.411	40.341	40.884	41.171	41.613	41.912	42.353	43.174	43.995	44.436	44.734	45.176	45.464	46.006	46.936
177	1	43.1978	0.0282	39.433	40.364	40.907	41.194	41.637	41.935	42.376	43.198	44.019	44.46	44.759	45.202	45.489	46.032	46.962
178	1	43.2217	0.02819	39.457	40.387	40.93	41.218	41.66	41.959	42.4	43.222	44.044	44.485	44.783	45.226	45.513	46.056	46.987
179	1	43.2455	0.02819	39.478	40.409	40.953	41.24	41.683	41.982	42.423	43.246	44.068	44.509	44.808	45.251	45.538	46.082	47.013
180	1	43.2691	0.02818	39.501	40.433	40.976	41.263	41.706	42.005	42.447	43.269	44.092	44.533	44.832	45.275	45.562	46.106	47.037
181	1	43.2927	0.02818	39.523	40.455	40.998	41.286	41.729	42.028	42.47	43.293	44.116	44.557	44.856	45.299	45.587	46.131	47.063
182	1	43.316	0.02817	39.545	40.477	41.021	41.309	41.752	42.051	42.493	43.316	44.139	44.581	44.88	45.323	45.611	46.155	47.087
183	1	43.3393	0.02817	39.567	40.499	41.043	41.331	41.775	42.074	42.516	43.339	44.163	44.605	44.904	45.347	45.636	46.179	47.112
184	1	43.3624	0.02816	39.589	40.522	41.066	41.354	41.798	42.097	42.539	43.362	44.186	44.628	44.927	45.371	45.659	46.203	47.136
185	1	43.3854	0.02816	39.61	40.543	41.088	41.376	41.82	42.119	42.561	43.385	44.209	44.652	44.951	45.395	45.683	46.228	47.161
186	1	43.4083	0.02815	39.632	40.566	41.11	41.398	41.842	42.142	42.584	43.408	44.232	44.675	44.974	45.418	45.707	46.251	47.184
187	1	43.431	0.02815	39.653	40.587	41.132	41.42	41.864	42.164	42.606	43.431	44.256	44.698	44.998	45.442	45.73	46.275	47.209
