76700	U/S ABDOMEN COMPLETE
76705	U/S ABDOMEN LIMITED
76770	U/S Retroperitoneal (renal,aorta,nodes)
76775	U/S Retroperitoneal LIMITED
76776	U/S TRANSPLANTED KIDNEY
76800	U/S Spinal canal and contents
76801	U/S OB FIRST TRIMESTER < 14 WEEKS
76802	U/S OB/FIRST TRI/EACH ADD
76805	U/S OB-GYN > 14 WEEKS
76810	U/S OB > 14 WEEKS/EACH ADD
76811	U/S OB MATERNAL/EVAL&DET EX
76812	U/S OB MATERNAL/EVAL&DET EX/EACH ADD
76813	U/S NUCHAL TRANSLUCENCY
76814	U/S NUCHAL TRANSLUCENCY/EACH ADD
76815	U/S OB LIMITED
76816	U/S OB LIMITED FOLLOW UP
76817	U/S OB TRANSVAGINAL
76830	U/S TRANSVAGINAL
76831	U/S HYSTEROGRAM WITH DOPPLER
76856	U/S PELVIS-NON OB COMPLETE
76857	U/S PELVIS-NON OB LIMITED
76870	U/S SCROTUM
76881	U/S EXTREMITY NON VASCULAR, COMPLETE
76882	U/S EXTREMITY NON VASCULAR, LIMITED
76885	U/S Infant Hips, dynamic
76886	U/S Infant Hips, limited, static
70336	MRI TEMPOROMANDIBULAR JOINT
70540	MRI SOFT TISSUE NECK,ORBIT, FACE without contrast
70542	MRI SOFT TISSUE NECK,ORBIT, FACE  with contrast
70543	MRI NECK,ORBIT, FACE with and without contrast
70551	MRI BRAIN without contrast
70552	MRI BRAIN with contrast
70553	MRI BRAIN with and without contrast
71550	MRI CHEST without contrast
71551	MRI CHEST with contrast
71552	MRI CHEST with and without contrast
72141	MRI CERVICAL SPINE  without contrast
72142	MRI CERVICAL SPINE with contrast
72146	MRI THORACIC without contrast
72147	MRI THORACIC with contrast
72148	MRI LUMBAR SPINE without contrast
72149	MRI LUMBAR SPINE with contrast
72156	MRI CERVICAL SPINE with and without contrast
72157	MRI THORACIC with and without contrast
72158	MRI LUMBAR SPINE with and without contrast
72195	MRI PELVIS without contrast
72196	MRI PELVIS with contrast
72197	MRI PELVIS with and without contrast
73218	MRI UPPER EXT NON JOINT without contrast
73219	MRI UPPER EXT NON JOINT with contrast
73220	MRI UPPER EXT NON JOINT  with and without contrast
73221	MRI UPPER EXT JOINT without contrast
73222	MRI UPPER EXT JOINT with contrast
73223	MRI UPPER EXT JOINT with and without contrast
73718	MRI LOWER EXT NON JOINT without contrast
73719	MRI LOWER EXT NON JOINT with contrast
73720	MRI LOWER EXT NON JOINT  with and without contrast
73721	MRI LOWER EXT JOINT without contrast
73722	MRI LOWER EXT JOINT with contrast
73723	MRI LOWER EXT JOINT  with and without contrast
74181	MRI ABDOMEN without contrast
74182	MRI ABDOMEN with contrast
74183	MRI ABDOMEN with and without contrast
