Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
33	0.3262	14.7112	0.09535	10.792	11.686	12.229	12.524	12.987	13.305	13.785	14.711	15.678	16.214	16.584	17.143	17.512	18.225	19.491
34	0.3192	14.7642	0.09527	10.838	11.732	12.277	12.572	13.035	13.355	13.836	14.764	15.734	16.272	16.643	17.204	17.575	18.29	19.562
35	0.3124	14.8157	0.0952	10.882	11.777	12.323	12.618	13.083	13.403	13.885	14.816	15.788	16.328	16.7	17.263	17.635	18.354	19.631
36	0.3058	14.8657	0.09513	10.925	11.821	12.367	12.663	13.129	13.45	13.933	14.866	15.841	16.382	16.756	17.321	17.694	18.416	19.699
37	0.2993	14.9142	0.09506	10.966	11.864	12.411	12.707	13.174	13.495	13.979	14.914	15.892	16.435	16.81	17.377	17.752	18.476	19.764
38	0.2929	14.9614	0.09499	11.007	11.906	12.453	12.75	13.217	13.539	14.024	14.961	15.942	16.486	16.862	17.431	17.807	18.534	19.828
39	0.2867	15.0073	0.09492	11.047	11.946	12.494	12.792	13.26	13.582	14.068	15.007	15.99	16.536	16.913	17.484	17.861	18.59	19.889
40	0.2806	15.052	0.09485	11.086	11.986	12.535	12.832	13.301	13.624	14.111	15.052	16.037	16.585	16.963	17.535	17.914	18.645	19.949
41	0.2747	15.0955	0.09479	11.123	12.024	12.574	12.872	13.341	13.665	14.153	15.096	16.083	16.632	17.012	17.585	17.965	18.699	20.008
42	0.2688	15.138	0.09472	11.16	12.062	12.612	12.911	13.38	13.704	14.193	15.138	16.128	16.678	17.059	17.634	18.015	18.752	20.065
43	0.263	15.1794	0.09466	11.196	12.099	12.649	12.948	13.419	13.743	14.233	15.179	16.172	16.723	17.105	17.682	18.064	18.803	20.121
44	0.2574	15.2198	0.0946	11.231	12.134	12.686	12.985	13.456	13.781	14.271	15.22	16.214	16.767	17.15	17.728	18.112	18.853	20.175
45	0.2519	15.2591	0.09454	11.265	12.169	12.721	13.021	13.492	13.818	14.309	15.259	16.256	16.81	17.193	17.774	18.158	18.901	20.228
46	0.2464	15.2974	0.09448	11.299	12.203	12.756	13.056	13.528	13.854	14.346	15.297	16.296	16.852	17.236	17.818	18.203	18.949	20.28
47	0.2411	15.3347	0.09442	11.331	12.237	12.789	13.09	13.563	13.889	14.381	15.335	16.335	16.892	17.277	17.86	18.247	18.995	20.33
48	0.2358	15.3709	0.09436	11.363	12.269	12.822	13.123	13.596	13.923	14.416	15.371	16.373	16.931	17.317	17.902	18.29	19.039	20.379
49	0.2306	15.4063	0.09431	11.394	12.3	12.854	13.155	13.629	13.956	14.45	15.406	16.411	16.97	17.357	17.943	18.332	19.083	20.427
50	0.2255	15.4408	0.09425	11.424	12.331	12.886	13.187	13.661	13.989	14.483	15.441	16.447	17.007	17.395	17.982	18.372	19.126	20.473
51	0.2205	15.4744	0.0942	11.454	12.361	12.916	13.217	13.692	14.02	14.515	15.474	16.482	17.044	17.432	18.021	18.412	19.167	20.518
52	0.2156	15.5072	0.09415	11.483	12.391	12.946	13.247	13.723	14.051	14.547	15.507	16.517	17.079	17.469	18.059	18.45	19.208	20.563
53	0.2107	15.5393	0.0941	11.511	12.419	12.975	13.277	13.752	14.081	14.577	15.539	16.551	17.114	17.505	18.096	18.488	19.248	20.606
54	0.2059	15.5706	0.09404	11.539	12.448	13.003	13.306	13.782	14.111	14.608	15.571	16.583	17.148	17.539	18.132	18.525	19.286	20.648
55	0.2012	15.6012	0.09399	11.566	12.475	13.031	13.334	13.81	14.139	14.637	15.601	16.616	17.181	17.573	18.167	18.561	19.324	20.69
56	0.1966	15.6311	0.09394	11.592	12.502	13.058	13.361	13.838	14.168	14.666	15.631	16.647	17.214	17.606	18.201	18.596	19.361	20.73
57	0.192	15.6604	0.09389	11.618	12.528	13.085	13.388	13.865	14.195	14.694	15.66	16.678	17.245	17.639	18.235	18.63	19.397	20.769
58	0.1875	15.689	0.09385	11.644	12.554	13.111	13.414	13.892	14.222	14.721	15.689	16.708	17.277	17.671	18.268	18.664	19.432	20.809
59	0.183	15.717	0.0938	11.669	12.579	13.137	13.44	13.918	14.248	14.748	15.717	16.737	17.307	17.701	18.3	18.697	19.467	20.846
60	0.1787	15.7444	0.09375	11.693	12.604	13.162	13.465	13.944	14.274	14.774	15.744	16.766	17.337	17.732	18.331	18.729	19.5	20.883
61	0.1743	15.7713	0.09371	11.717	12.628	13.186	13.49	13.969	14.3	14.8	15.771	16.795	17.366	17.762	18.362	18.761	19.534	20.92
62	0.17	15.7975	0.09366	11.741	12.652	13.21	13.514	13.993	14.324	14.825	15.798	16.822	17.394	17.791	18.392	18.792	19.566	20.955
63	0.1658	15.8232	0.09361	11.764	12.676	13.234	13.538	14.017	14.349	14.85	15.823	16.849	17.422	17.819	18.422	18.822	19.598	20.99
64	0.1617	15.8483	0.09357	11.786	12.698	13.257	13.561	14.041	14.372	14.874	15.848	16.875	17.449	17.847	18.45	18.851	19.629	21.024
65	0.1575	15.8729	0.09353	11.808	12.72	13.279	13.584	14.064	14.396	14.898	15.873	16.901	17.476	17.874	18.479	18.881	19.659	21.058
66	0.1535	15.8968	0.09348	11.83	12.742	13.302	13.606	14.086	14.418	14.921	15.897	16.926	17.502	17.901	18.506	18.908	19.688	21.089
67	0.1495	15.9202	0.09344	11.851	12.764	13.323	13.628	14.108	14.44	14.943	15.92	16.951	17.527	17.926	18.533	18.936	19.717	21.121
68	0.1455	15.9431	0.0934	11.872	12.785	13.344	13.649	14.13	14.462	14.965	15.943	16.975	17.552	17.952	18.559	18.963	19.746	21.152
69	0.1416	15.9655	0.09336	11.892	12.805	13.365	13.67	14.151	14.483	14.987	15.966	16.998	17.576	17.977	18.585	18.989	19.774	21.183
70	0.1377	15.9874	0.09332	11.912	12.825	13.385	13.69	14.171	14.504	15.008	15.987	17.021	17.6	18.001	18.61	19.015	19.801	21.213
71	0.1339	16.0087	0.09328	11.931	12.844	13.405	13.71	14.191	14.524	15.029	16.009	17.044	17.623	18.024	18.634	19.04	19.827	21.242
72	0.1301	16.0297	0.09324	11.95	12.864	13.424	13.729	14.211	14.544	15.049	16.03	17.066	17.645	18.048	18.658	19.065	19.853	21.27
73	0.1263	16.0501	0.0932	11.969	12.883	13.443	13.748	14.23	14.564	15.068	16.05	17.087	17.667	18.07	18.682	19.089	19.878	21.298
74	0.1226	16.0702	0.09316	11.988	12.901	13.462	13.767	14.249	14.583	15.088	16.07	17.108	17.689	18.092	18.705	19.112	19.903	21.325
75	0.119	16.0897	0.09312	12.006	12.919	13.48	13.785	14.268	14.601	15.107	16.09	17.129	17.71	18.114	18.727	19.135	19.927	21.352
76	0.1154	16.1089	0.09308	12.023	12.937	13.498	13.803	14.286	14.62	15.125	16.109	17.149	17.731	18.135	18.749	19.157	19.95	21.378
77	0.1118	16.1277	0.09304	12.041	12.954	13.515	13.821	14.303	14.637	15.143	16.128	17.168	17.751	18.156	18.77	19.179	19.973	21.403
78	0.1082	16.1461	0.093	12.058	12.972	13.532	13.838	14.321	14.655	15.161	16.146	17.188	17.771	18.176	18.791	19.201	19.996	21.428
79	0.1047	16.164	0.09297	12.074	12.988	13.549	13.855	14.338	14.672	15.178	16.164	17.207	17.79	18.196	18.812	19.222	20.018	21.453
80	0.1013	16.1817	0.09293	12.091	13.004	13.566	13.871	14.354	14.689	15.196	16.182	17.225	17.809	18.215	18.832	19.243	20.04	21.476
81	0.0978	16.1989	0.09289	12.107	13.021	13.582	13.888	14.371	14.705	15.212	16.199	17.243	17.828	18.234	18.852	19.263	20.061	21.5
82	0.0944	16.2158	0.09286	12.123	13.036	13.597	13.903	14.387	14.721	15.228	16.216	17.261	17.846	18.253	18.871	19.283	20.082	21.523
83	0.0911	16.2323	0.09282	12.138	13.052	13.613	13.919	14.402	14.737	15.244	16.232	17.278	17.864	18.271	18.89	19.302	20.102	21.545
84	0.0877	16.2485	0.09279	12.153	13.067	13.628	13.934	14.418	14.753	15.26	16.249	17.295	17.882	18.289	18.909	19.321	20.123	21.568
85	0.0844	16.2644	0.09275	12.168	13.082	13.643	13.949	14.433	14.768	15.276	16.264	17.312	17.899	18.306	18.927	19.34	20.142	21.589
86	0.0811	16.28	0.09272	12.183	13.096	13.658	13.964	14.448	14.783	15.291	16.28	17.328	17.915	18.324	18.944	19.358	20.161	21.611
87	0.0779	16.2952	0.09268	12.197	13.111	13.672	13.978	14.462	14.797	15.305	16.295	17.344	17.932	18.34	18.962	19.376	20.18	21.631
88	0.0747	16.3101	0.09265	12.211	13.125	13.686	13.992	14.476	14.812	15.32	16.31	17.359	17.948	18.357	18.979	19.393	20.198	21.652
89	0.0715	16.3247	0.09262	12.225	13.138	13.7	14.006	14.49	14.826	15.334	16.325	17.375	17.964	18.373	18.995	19.41	20.217	21.672
90	0.0684	16.339	0.09258	12.239	13.152	13.714	14.02	14.504	14.839	15.348	16.339	17.389	17.979	18.388	19.012	19.427	20.234	21.691
91	0.0652	16.3531	0.09255	12.252	13.165	13.727	14.033	14.517	14.853	15.362	16.353	17.404	17.994	18.404	19.028	19.443	20.251	21.71
92	0.0621	16.3668	0.09252	12.265	13.178	13.74	14.046	14.53	14.866	15.375	16.367	17.419	18.009	18.419	19.043	19.459	20.268	21.729
93	0.0591	16.3803	0.09249	12.278	13.191	13.753	14.059	14.543	14.879	15.388	16.38	17.433	18.023	18.434	19.059	19.475	20.285	21.748
94	0.056	16.3935	0.09245	12.291	13.204	13.765	14.072	14.556	14.892	15.401	16.394	17.446	18.037	18.448	19.074	19.49	20.301	21.765
95	0.053	16.4065	0.09242	12.304	13.216	13.778	14.084	14.569	14.904	15.413	16.407	17.46	18.051	18.463	19.088	19.506	20.317	21.783
96	0.05	16.4192	0.09239	12.316	13.228	13.79	14.096	14.581	14.916	15.426	16.419	17.473	18.065	18.477	19.103	19.521	20.333	21.801
97	0.0471	16.4316	0.09236	12.328	13.24	13.802	14.108	14.593	14.928	15.438	16.432	17.486	18.078	18.49	19.117	19.535	20.348	21.818
98	0.0442	16.4438	0.09233	12.34	13.252	13.813	14.12	14.604	14.94	15.45	16.444	17.499	18.091	18.504	19.131	19.549	20.363	21.834
99	0.0412	16.4557	0.0923	12.351	13.263	13.825	14.131	14.616	14.952	15.461	16.456	17.511	18.104	18.517	19.145	19.563	20.378	21.851
100	0.0384	16.4673	0.09227	12.363	13.274	13.836	14.142	14.627	14.963	15.473	16.467	17.523	18.117	18.529	19.158	19.577	20.392	21.867
101	0.0355	16.4788	0.09224	12.374	13.285	13.847	14.153	14.638	14.974	15.484	16.479	17.535	18.129	18.542	19.171	19.59	20.406	21.882
102	0.0327	16.49	0.09221	12.385	13.296	13.858	14.164	14.649	14.985	15.495	16.49	17.547	18.141	18.554	19.184	19.603	20.42	21.898
103	0.0298	16.5009	0.09218	12.396	13.307	13.868	14.175	14.659	14.995	15.505	16.501	17.558	18.153	18.566	19.196	19.616	20.433	21.913
104	0.027	16.5117	0.09215	12.406	13.317	13.879	14.185	14.67	15.006	15.516	16.512	17.57	18.164	18.578	19.208	19.628	20.447	21.928
105	0.0243	16.5222	0.09212	12.417	13.328	13.889	14.195	14.68	15.016	15.526	16.522	17.581	18.175	18.589	19.22	19.641	20.46	21.942
106	0.0215	16.5325	0.09209	12.427	13.338	13.899	14.205	14.69	15.026	15.536	16.533	17.591	18.186	18.601	19.232	19.653	20.472	21.956
107	0.0188	16.5426	0.09206	12.437	13.348	13.909	14.215	14.7	15.036	15.546	16.543	17.602	18.197	18.612	19.243	19.664	20.485	21.97
108	0.0161	16.5525	0.09203	12.447	13.357	13.918	14.225	14.709	15.046	15.556	16.553	17.612	18.208	18.622	19.254	19.676	20.497	21.983
109	0.0134	16.5622	0.09201	12.457	13.367	13.928	14.234	14.719	15.055	15.565	16.562	17.622	18.218	18.633	19.265	19.687	20.509	21.997
110	0.0107	16.5717	0.09198	12.466	13.376	13.937	14.243	14.728	15.064	15.575	16.572	17.632	18.228	18.644	19.276	19.698	20.521	22.01
111	0.0081	16.581	0.09195	12.476	13.385	13.946	14.252	14.737	15.073	15.584	16.581	17.642	18.238	18.654	19.287	19.709	20.532	22.023
112	0.0055	16.5901	0.09192	12.485	13.394	13.955	14.261	14.746	15.082	15.593	16.59	17.651	18.248	18.663	19.297	19.719	20.543	22.035
113	0.0029	16.5991	0.09189	12.494	13.403	13.964	14.27	14.755	15.091	15.601	16.599	17.66	18.257	18.673	19.307	19.73	20.554	22.047
114	0.0003	16.6078	0.09187	12.503	13.412	13.972	14.279	14.763	15.099	15.61	16.608	17.669	18.267	18.683	19.317	19.74	20.565	22.06
115	-0.0023	16.6164	0.09184	12.512	13.421	13.981	14.287	14.772	15.108	15.618	16.616	17.678	18.276	18.692	19.327	19.75	20.575	22.072
116	-0.0048	16.6249	0.09181	12.521	13.429	13.989	14.295	14.78	15.116	15.627	16.625	17.687	18.285	18.701	19.336	19.76	20.586	22.083
117	-0.0074	16.6331	0.09179	12.529	13.437	13.997	14.303	14.788	15.124	15.635	16.633	17.696	18.294	18.71	19.346	19.77	20.596	22.095
118	-0.0099	16.6412	0.09176	12.537	13.445	14.005	14.311	14.796	15.132	15.643	16.641	17.704	18.302	18.719	19.355	19.779	20.606	22.106
119	-0.0124	16.6492	0.09173	12.546	13.454	14.014	14.319	14.804	15.14	15.651	16.649	17.712	18.311	18.728	19.363	19.788	20.615	22.117
120	-0.0148	16.657	0.09171	12.554	13.461	14.021	14.327	14.811	15.148	15.658	16.657	17.72	18.319	18.736	19.372	19.797	20.625	22.128
121	-0.0173	16.6647	0.09168	12.562	13.469	14.029	14.335	14.819	15.155	15.666	16.665	17.728	18.327	18.745	19.381	19.806	20.635	22.138
122	-0.0197	16.6722	0.09166	12.57	13.477	14.036	14.342	14.826	15.163	15.673	16.672	17.736	18.335	18.753	19.39	19.815	20.644	22.149
123	-0.0222	16.6795	0.09163	12.577	13.484	14.044	14.349	14.834	15.17	15.681	16.68	17.744	18.343	18.761	19.398	19.823	20.653	22.159
124	-0.0246	16.6868	0.09161	12.585	13.491	14.051	14.357	14.841	15.177	15.688	16.687	17.751	18.351	18.769	19.406	19.832	20.662	22.169
125	-0.027	16.6939	0.09158	12.593	13.499	14.058	14.364	14.848	15.184	15.695	16.694	17.759	18.358	18.776	19.414	19.84	20.67	22.179
126	-0.0293	16.7009	0.09156	12.6	13.506	14.065	14.371	14.855	15.191	15.702	16.701	17.766	18.366	18.784	19.422	19.848	20.679	22.189
127	-0.0317	16.7077	0.09153	12.607	13.513	14.072	14.378	14.862	15.198	15.708	16.708	17.773	18.373	18.791	19.429	19.856	20.687	22.198
128	-0.034	16.7144	0.09151	12.614	13.52	14.079	14.384	14.868	15.204	15.715	16.714	17.78	18.38	18.799	19.437	19.864	20.696	22.207
129	-0.0364	16.721	0.09148	12.622	13.527	14.086	14.391	14.875	15.211	15.722	16.721	17.786	18.387	18.806	19.444	19.871	20.704	22.216
130	-0.0387	16.7274	0.09146	12.628	13.533	14.092	14.397	14.881	15.217	15.728	16.727	17.793	18.394	18.813	19.452	19.879	20.712	22.225
131	-0.041	16.7337	0.09143	12.635	13.54	14.098	14.404	14.888	15.224	15.734	16.734	17.8	18.4	18.819	19.458	19.886	20.719	22.234
132	-0.0433	16.7399	0.09141	12.642	13.546	14.105	14.41	14.894	15.23	15.74	16.74	17.806	18.407	18.826	19.465	19.893	20.727	22.243
133	-0.0455	16.746	0.09139	12.649	13.553	14.111	14.416	14.9	15.236	15.746	16.746	17.812	18.413	18.833	19.472	19.9	20.735	22.251
134	-0.0478	16.7519	0.09136	12.655	13.559	14.117	14.422	14.906	15.242	15.752	16.752	17.818	18.42	18.839	19.479	19.907	20.741	22.259
135	-0.05	16.7577	0.09134	12.662	13.565	14.123	14.428	14.912	15.247	15.758	16.758	17.824	18.426	18.845	19.485	19.913	20.749	22.268
136	-0.0522	16.7634	0.09131	12.668	13.571	14.129	14.434	14.918	15.253	15.764	16.763	17.83	18.432	18.851	19.492	19.92	20.755	22.275
137	-0.0545	16.7689	0.09129	12.674	13.577	14.135	14.44	14.923	15.259	15.769	16.769	17.836	18.438	18.857	19.498	19.926	20.762	22.283
138	-0.0566	16.7743	0.09127	12.68	13.583	14.14	14.445	14.928	15.264	15.774	16.774	17.841	18.443	18.863	19.504	19.932	20.769	22.291
139	-0.0588	16.7797	0.09125	12.686	13.588	14.146	14.451	14.934	15.269	15.78	16.78	17.847	18.449	18.869	19.51	19.939	20.776	22.298
140	-0.061	16.7848	0.09122	12.692	13.594	14.151	14.456	14.939	15.275	15.785	16.785	17.852	18.454	18.874	19.515	19.944	20.782	22.305
141	-0.0632	16.7899	0.0912	12.698	13.599	14.156	14.461	14.944	15.28	15.79	16.79	17.857	18.46	18.88	19.521	19.95	20.788	22.312
142	-0.0653	16.7948	0.09118	12.703	13.605	14.162	14.466	14.949	15.285	15.795	16.795	17.862	18.465	18.885	19.527	19.956	20.794	22.32
143	-0.0674	16.7997	0.09116	12.709	13.61	14.167	14.471	14.954	15.29	15.8	16.8	17.867	18.47	18.89	19.532	19.962	20.8	22.327
144	-0.0696	16.8044	0.09113	12.715	13.615	14.172	14.476	14.959	15.295	15.805	16.804	17.872	18.475	18.895	19.537	19.967	20.806	22.333
145	-0.0717	16.809	0.09111	12.72	13.62	14.177	14.481	14.964	15.299	15.809	16.809	17.877	18.48	18.9	19.542	19.972	20.811	22.339
146	-0.0737	16.8134	0.09109	12.725	13.625	14.181	14.486	14.968	15.304	15.814	16.813	17.881	18.484	18.905	19.547	19.977	20.817	22.346
147	-0.0758	16.8178	0.09107	12.73	13.63	14.186	14.49	14.973	15.308	15.818	16.818	17.886	18.489	18.91	19.552	19.982	20.822	22.352
148	-0.0779	16.822	0.09104	12.735	13.635	14.191	14.495	14.977	15.313	15.822	16.822	17.89	18.493	18.914	19.557	19.987	20.827	22.357
149	-0.08	16.8262	0.09102	12.74	13.639	14.195	14.499	14.982	15.317	15.827	16.826	17.894	18.497	18.918	19.561	19.992	20.832	22.363
150	-0.082	16.8302	0.091	12.745	13.644	14.2	14.504	14.986	15.321	15.831	16.83	17.898	18.502	18.923	19.566	19.996	20.837	22.369
151	-0.084	16.8341	0.09098	12.75	13.648	14.204	14.508	14.99	15.325	15.835	16.834	17.902	18.506	18.927	19.57	20.001	20.842	22.375
152	-0.086	16.8379	0.09096	12.755	13.653	14.208	14.512	14.994	15.329	15.838	16.838	17.906	18.51	18.931	19.574	20.005	20.846	22.38
153	-0.0881	16.8416	0.09094	12.759	13.657	14.212	14.516	14.998	15.333	15.842	16.842	17.91	18.513	18.935	19.578	20.009	20.851	22.386
154	-0.0901	16.8452	0.09092	12.764	13.661	14.216	14.52	15.002	15.336	15.846	16.845	17.914	18.517	18.939	19.582	20.013	20.856	22.391
155	-0.092	16.8487	0.0909	12.768	13.665	14.22	14.524	15.005	15.34	15.849	16.849	17.917	18.521	18.942	19.586	20.017	20.86	22.396
156	-0.094	16.8521	0.09088	12.772	13.669	14.224	14.527	15.009	15.344	15.853	16.852	17.921	18.524	18.946	19.59	20.021	20.864	22.401
157	-0.096	16.8554	0.09085	12.777	13.673	14.228	14.531	15.013	15.347	15.856	16.855	17.924	18.528	18.949	19.593	20.025	20.868	22.405
158	-0.0979	16.8586	0.09083	12.781	13.677	14.231	14.535	15.016	15.351	15.86	16.859	17.927	18.531	18.952	19.597	20.028	20.871	22.409
159	-0.0999	16.8617	0.09081	12.785	13.681	14.235	14.538	15.019	15.354	15.863	16.862	17.93	18.534	18.956	19.6	20.032	20.875	22.414
160	-0.1018	16.8648	0.09079	12.789	13.684	14.238	14.542	15.023	15.357	15.866	16.865	17.933	18.537	18.959	19.604	20.035	20.879	22.418
161	-0.1037	16.8677	0.09077	12.793	13.688	14.242	14.545	15.026	15.36	15.869	16.868	17.936	18.54	18.962	19.607	20.038	20.882	22.422
162	-0.1056	16.8705	0.09075	12.797	13.691	14.245	14.548	15.029	15.363	15.872	16.871	17.939	18.543	18.965	19.61	20.042	20.886	22.426
163	-0.1075	16.8732	0.09073	12.801	13.695	14.248	14.551	15.032	15.366	15.875	16.873	17.942	18.546	18.968	19.613	20.045	20.889	22.43
164	-0.1094	16.8759	0.09071	12.804	13.698	14.251	14.554	15.035	15.369	15.878	16.876	17.944	18.548	18.97	19.616	20.048	20.892	22.434
165	-0.1113	16.8784	0.09069	12.808	13.701	14.254	14.557	15.038	15.372	15.88	16.878	17.947	18.551	18.973	19.618	20.05	20.895	22.438
166	-0.1132	16.8808	0.09067	12.811	13.705	14.257	14.56	15.04	15.374	15.883	16.881	17.949	18.553	18.975	19.621	20.053	20.898	22.441
167	-0.115	16.8832	0.09065	12.815	13.708	14.26	14.563	15.043	15.377	15.885	16.883	17.952	18.556	18.978	19.623	20.056	20.901	22.445
168	-0.1169	16.8854	0.09063	12.818	13.711	14.263	14.566	15.046	15.379	15.888	16.885	17.954	18.558	18.98	19.626	20.058	20.904	22.448
169	-0.1187	16.8876	0.09061	12.822	13.714	14.266	14.568	15.048	15.382	15.89	16.888	17.956	18.56	18.982	19.628	20.06	20.906	22.451
170	-0.1206	16.8897	0.09059	12.825	13.716	14.268	14.571	15.051	15.384	15.892	16.89	17.958	18.562	18.984	19.63	20.063	20.909	22.454
171	-0.1224	16.8917	0.09058	12.828	13.719	14.271	14.573	15.053	15.386	15.894	16.892	17.96	18.564	18.987	19.633	20.065	20.912	22.458
172	-0.1242	16.8936	0.09056	12.831	13.722	14.273	14.575	15.055	15.388	15.896	16.894	17.962	18.566	18.989	19.634	20.067	20.914	22.461
173	-0.126	16.8954	0.09054	12.834	13.724	14.276	14.578	15.057	15.391	15.898	16.895	17.964	18.568	18.99	19.636	20.069	20.916	22.463
174	-0.1278	16.8971	0.09052	12.837	13.727	14.278	14.58	15.059	15.393	15.9	16.897	17.965	18.57	18.992	19.638	20.071	20.918	22.466
175	-0.1296	16.8987	0.0905	12.839	13.729	14.28	14.582	15.061	15.394	15.902	16.899	17.967	18.571	18.994	19.64	20.073	20.92	22.468
176	-0.1314	16.9002	0.09048	12.842	13.732	14.282	14.584	15.063	15.396	15.904	16.9	17.968	18.573	18.995	19.641	20.074	20.922	22.47
177	-0.1331	16.9017	0.09046	12.845	13.734	14.285	14.586	15.065	15.398	15.905	16.902	17.97	18.574	18.996	19.643	20.076	20.923	22.472
178	-0.1349	16.9031	0.09044	12.848	13.736	14.287	14.588	15.067	15.4	15.907	16.903	17.971	18.575	18.998	19.644	20.077	20.925	22.475
179	-0.1366	16.9043	0.09043	12.85	13.738	14.288	14.59	15.068	15.401	15.908	16.904	17.972	18.577	18.999	19.645	20.079	20.927	22.477
