BANNER,LOINC #,Long Common Name,CLASS,Class Override,Rank,Example UCUM,Example UCUM Display,Comments,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,System Adjusted,GROUP,
,6098-8,Dog dander IgE Ab [Units/volume] in Serum,Allergy,Allergy,1077,k[IU]/L,kIU/L,"Dog dander, epithelium, and hair all identify the same allergen which comes from saliva and coats the hair and epithelium via licking.",Dog dander Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6099-6,Dog epithelium IgE Ab [Units/volume] in Serum,Allergy,Allergy,692,k[IU]/L,kIU/L,"Dog dander, epithelium, and hair all identify the same allergen which comes from saliva and coats the hair and epithelium via licking. Use [LOINC: 6098-8] if possible.",Dog epithelium Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7287-6,Dog Fennel IgE Ab [Units/volume] in Serum,Allergy,Allergy,1502,k[IU]/L,kIU/L,,Anthemis cotula Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6106-9,Egg white IgE Ab [Units/volume] in Serum,Allergy,Allergy,799,k[IU]/L,kIU/L,,Egg white Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6107-7,Egg yolk IgE Ab [Units/volume] in Serum,Allergy,Allergy,1080,k[IU]/L,kIU/L,,Egg yolk Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6110-1,English Plantain IgE Ab [Units/volume] in Serum,Allergy,Allergy,758,k[IU]/L,kIU/L,,Plantago lanceolata Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6096-2,European house dust mite IgE Ab [Units/volume] in Serum,Allergy,Allergy,675,k[IU]/L,kIU/L,,Dermatophagoides pteronyssinus Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,15218-1,Food Allergen Mix 2 (Cod+Blue Mussel+Shrimp+Salmon+Tuna) IgE Ab [Presence] in Serum by Multidisk,Allergy,Allergy,971,,,,(Gadus morhua+Mytilus edulis+Pandalus borealis+Salmo salar+Thunnus albacares) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk,Ser,,
,6121-8,Fusarium moniliforme IgE Ab [Units/volume] in Serum,Allergy,Allergy,1941,k[IU]/L,kIU/L,,Fusarium moniliforme Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6125-9,Gluten IgE Ab [Units/volume] in Serum,Allergy,Allergy,1932,k[IU]/L,kIU/L,,Gluten Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6156-4,Goosefoot IgE Ab [Units/volume] in Serum,Allergy,Allergy,993,k[IU]/L,kIU/L,,Chenopodium album Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7110-0,Groundsel Tree IgE Ab [Units/volume] in Serum,Allergy,Allergy,1534,k[IU]/L,kIU/L,,Baccharis spp Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6113-5,Gum-Tree IgE Ab [Units/volume] in Serum,Allergy,Allergy,1377,k[IU]/L,kIU/L,,Eucalyptus spp Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6136-6,Hazelnut IgE Ab [Units/volume] in Serum,Allergy,Allergy,1241,k[IU]/L,kIU/L,,Corylus avellana Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6137-4,Hazelnut Pollen IgE Ab [Units/volume] in Serum,Allergy,Allergy,1650,k[IU]/L,kIU/L,,Corylus avellana pollen Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6138-2,Helminthosporium halodes IgE Ab [Units/volume] in Serum,Allergy,Allergy,1763,k[IU]/L,kIU/L,,Helminthosporium halodes Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6151-5,Italian Cypress IgE Ab [Units/volume] in Serum,Allergy,Allergy,1495,k[IU]/L,kIU/L,,Cupressus sempervirens Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6152-3,Johnson grass IgE Ab [Units/volume] in Serum,Allergy,Allergy,839,k[IU]/L,kIU/L,,Sorghum halepense Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6153-1,Kentucky blue grass IgE Ab [Units/volume] in Serum,Allergy,Allergy,927,k[IU]/L,kIU/L,,Poa pratensis Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7445-0,Lactalbumin alpha IgE Ab [Units/volume] in Serum,Allergy,Allergy,1857,k[IU]/L,kIU/L,,Lactalbumin alpha Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6158-0,Latex IgE Ab [Units/volume] in Serum,Allergy,Allergy,1426,k[IU]/L,kIU/L,,Latex Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6239-8,Lenscale IgE Ab [Units/volume] in Serum,Allergy,Allergy,1848,k[IU]/L,kIU/L,,Atriplex lentiformis Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6165-5,Lobster IgE Ab [Units/volume] in Serum,Allergy,Allergy,1340,k[IU]/L,kIU/L,,Homarus gammarus Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,11183-1,Macadamia IgE Ab [Units/volume] in Serum,Allergy,Allergy,1845,k[IU]/L,kIU/L,,Macadamia spp Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7477-3,Mango Pollen IgE Ab [Units/volume] in Serum,Allergy,Allergy,1530,k[IU]/L,kIU/L,,Mangifera indica pollen Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6174-7,Milk IgE Ab [Units/volume] in Serum,Allergy,Allergy,1442,k[IU]/L,kIU/L,,Milk Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,33536-4,Miscellaneous allergen IgE Ab RAST class in Serum,Allergy,Allergy,1408,,,,Allergen.miscellaneous Ab.IgE.RAST class,ACnc,Pt,Ser,Ord,,Ser,,
,6178-8,Mountain Juniper IgE Ab [Units/volume] in Serum,Allergy,Allergy,963,k[IU]/L,kIU/L,,Juniperus sabinoides Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6182-0,Mucor racemosus IgE Ab [Units/volume] in Serum,Allergy,Allergy,827,k[IU]/L,kIU/L,,Mucor racemosus Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6183-8,Mugwort IgE Ab [Units/volume] in Serum,Allergy,Allergy,1037,k[IU]/L,kIU/L,,Artemisia vulgaris Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6186-1,Nettle IgE Ab [Units/volume] in Serum,Allergy,Allergy,994,k[IU]/L,kIU/L,,Urtica dioica Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6190-3,Oat IgE Ab [Units/volume] in Serum,Allergy,Allergy,1486,k[IU]/L,kIU/L,,Avena sativa Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6194-5,Orange IgE Ab [Units/volume] in Serum,Allergy,Allergy,1636,k[IU]/L,kIU/L,,Citrus sinensis Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7558-0,Oyster IgE Ab [Units/volume] in Serum,Allergy,Allergy,1690,k[IU]/L,kIU/L,,Ostrea edulis Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6206-7,Peanut IgE Ab [Units/volume] in Serum,Allergy,Allergy,611,k[IU]/L,kIU/L,,Arachis hypogaea Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,15917-8,Peanut IgE Ab RAST class in Serum,Allergy,Allergy,1721,,,,Arachis hypogaea Ab.IgE.RAST class,ACnc,Pt,Ser,Ord,,Ser,,
,6208-3,Pecan or Hickory Nut IgE Ab [Units/volume] in Serum,Allergy,Allergy,1096,k[IU]/L,kIU/L,,Carya illinoinensis nut Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6209-1,Pecan or Hickory Tree IgE Ab [Units/volume] in Serum,Allergy,Allergy,1615,k[IU]/L,kIU/L,,Carya illinoinensis tree Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6212-5,Penicillium notatum IgE Ab [Units/volume] in Serum,Allergy,Allergy,748,k[IU]/L,kIU/L,,Penicillium notatum Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7369-2,Perennial rye grass IgE Ab [Units/volume] in Serum,Allergy,Allergy,1147,k[IU]/L,kIU/L,,Lolium perenne Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6733-0,Pigeon serum Ab [Presence] in Serum by Immune diffusion (ID),Allergy,Allergy,1903,,,,Pigeon serum Ab,ACnc,Pt,Ser,Ord,Immune diffusion,Ser,,
,7613-3,Pistachio IgE Ab [Units/volume] in Serum,Allergy,Allergy,1583,k[IU]/L,kIU/L,,Pistacia vera Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6219-0,Pork IgE Ab [Units/volume] in Serum,Allergy,Allergy,917,k[IU]/L,kIU/L,,Pork Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6220-8,Potato IgE Ab [Units/volume] in Serum,Allergy,Allergy,1669,k[IU]/L,kIU/L,,Solanum tuberosum Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7632-3,Privet IgE Ab [Units/volume] in Serum,Allergy,Allergy,1766,k[IU]/L,kIU/L,,Ligustrum vulgare Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6222-4,Queen Palm IgE Ab [Units/volume] in Serum,Allergy,Allergy,1487,k[IU]/L,kIU/L,,Syagrus romanzoffianum Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6230-7,Rice IgE Ab [Units/volume] in Serum,Allergy,Allergy,1497,k[IU]/L,kIU/L,,Oryza sativa Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6233-1,Rough Pigweed IgE Ab [Units/volume] in Serum,Allergy,Allergy,936,k[IU]/L,kIU/L,,Pigweed rough Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6237-2,Salmon IgE Ab [Units/volume] in Serum,Allergy,Allergy,1619,k[IU]/L,kIU/L,,Salmo salar Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6234-9,Saltwort IgE Ab [Units/volume] in Serum,Allergy,Allergy,1798,k[IU]/L,kIU/L,,Salsola kali Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,7691-9,Scallop IgE Ab [Units/volume] in Serum,Allergy,Allergy,1211,k[IU]/L,kIU/L,,Pecten spp Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6242-2,Sesame Seed IgE Ab [Units/volume] in Serum,Allergy,Allergy,1455,k[IU]/L,kIU/L,,Sesamum indicum Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6244-8,Sheep Sorrel IgE Ab [Units/volume] in Serum,Allergy,Allergy,916,k[IU]/L,kIU/L,,Rumex acetosella Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6246-3,Shrimp IgE Ab [Units/volume] in Serum,Allergy,Allergy,978,k[IU]/L,kIU/L,,Pandalus borealis Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,15283-5,Silver Birch IgE Ab [Units/volume] in Serum,Allergy,Allergy,1446,k[IU]/L,kIU/L,,Betula verrucosa Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6248-9,Soybean IgE Ab [Units/volume] in Serum,Allergy,Allergy,646,k[IU]/L,kIU/L,,Glycine max Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,15568-9,Soybean IgE Ab RAST class in Serum,Allergy,Allergy,1927,,,,Glycine max Ab.IgE.RAST class,ACnc,Pt,Ser,Ord,,Ser,,
,6252-1,Stemphylium botryosum IgE Ab [Units/volume] in Serum,Allergy,Allergy,841,k[IU]/L,kIU/L,,Stemphylium botryosum Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6257-0,Strawberry IgE Ab [Units/volume] in Serum,Allergy,Allergy,1601,k[IU]/L,kIU/L,,Fragaria vesca Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,15761-0,Sweetgum IgE Ab RAST class in Serum,Allergy,Allergy,1172,,,,Liquidambar styraciflua Ab.IgE.RAST class,ACnc,Pt,Ser,Ord,,Ser,,
,6265-3,Timothy IgE Ab [Units/volume] in Serum,Allergy,Allergy,935,k[IU]/L,kIU/L,,Phleum pratense Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6266-1,Tomato IgE Ab [Units/volume] in Serum,Allergy,Allergy,1429,k[IU]/L,kIU/L,,Lycopersicon lycopersicum Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6270-3,Tuna IgE Ab [Units/volume] in Serum,Allergy,Allergy,1582,k[IU]/L,kIU/L,,Thunnus albacares Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6164-8,Virginia Live Oak IgE Ab [Units/volume] in Serum,Allergy,Allergy,1371,k[IU]/L,kIU/L,,Quercus virginiana Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6273-7,Walnut IgE Ab [Units/volume] in Serum,Allergy,Allergy,922,k[IU]/L,kIU/L,,Juglans spp Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,16074-7,Walnut IgE Ab RAST class in Serum,Allergy,Allergy,1781,,,,Juglans spp Ab.IgE.RAST class,ACnc,Pt,Ser,Ord,,Ser,,
,6276-0,Wheat IgE Ab [Units/volume] in Serum,Allergy,Allergy,645,k[IU]/L,kIU/L,,Triticum aestivum Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,16085-3,Wheat IgE Ab RAST class in Serum,Allergy,Allergy,1921,,,,Triticum aestivum Ab.IgE.RAST class,ACnc,Pt,Ser,Ord,,Ser,,
,6278-6,White Ash IgE Ab [Units/volume] in Serum,Allergy,Allergy,1146,k[IU]/L,kIU/L,,Fraxinus americana Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,41874-9,White Birch IgE Ab [Units/volume] in Serum,Allergy,Allergy,1025,k[IU]/L,kIU/L,,Betula populifolia Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
,6109-3,White Elm IgE Ab [Units/volume] in Serum,Allergy,Allergy,1511,k[IU]/L,kIU/L,,Ulmus americana Ab.IgE,ACnc,Pt,Ser,Qn,,Ser,,
