Length	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
46.3	-0.3833	2.6816	0.09039	2.057	2.191	2.274	2.321	2.394	2.446	2.525	2.682	2.852	2.95	3.019	3.125	3.197	3.339	3.603
46.4	-0.3833	2.6986	0.0904	2.07	2.204	2.289	2.335	2.409	2.461	2.541	2.699	2.87	2.969	3.038	3.145	3.217	3.36	3.626
46.5	-0.3833	2.7155	0.0904	2.083	2.218	2.303	2.35	2.424	2.477	2.557	2.716	2.888	2.987	3.057	3.165	3.237	3.381	3.649
46.6	-0.3833	2.7326	0.09041	2.096	2.232	2.318	2.365	2.44	2.492	2.573	2.733	2.907	3.006	3.076	3.185	3.258	3.403	3.672
46.7	-0.3833	2.7496	0.09042	2.109	2.246	2.332	2.379	2.455	2.508	2.589	2.75	2.925	3.025	3.096	3.205	3.278	3.424	3.695
46.8	-0.3833	2.7666	0.09043	2.122	2.26	2.346	2.394	2.47	2.523	2.605	2.767	2.943	3.044	3.115	3.224	3.299	3.445	3.718
46.9	-0.3833	2.7837	0.09044	2.135	2.274	2.361	2.409	2.485	2.539	2.621	2.784	2.961	3.063	3.134	3.244	3.319	3.466	3.741
47	-0.3833	2.8007	0.09044	2.148	2.288	2.375	2.423	2.5	2.554	2.637	2.801	2.979	3.081	3.153	3.264	3.339	3.488	3.764
47.1	-0.3833	2.8179	0.09045	2.161	2.302	2.39	2.438	2.516	2.57	2.653	2.818	2.997	3.1	3.173	3.284	3.36	3.509	3.787
47.2	-0.3833	2.835	0.09046	2.174	2.316	2.404	2.453	2.531	2.586	2.669	2.835	3.016	3.119	3.192	3.304	3.38	3.531	3.81
47.3	-0.3833	2.8522	0.09047	2.187	2.33	2.419	2.468	2.546	2.601	2.685	2.852	3.034	3.138	3.211	3.324	3.401	3.552	3.834
47.4	-0.3833	2.8694	0.09047	2.2	2.344	2.433	2.483	2.562	2.617	2.701	2.869	3.052	3.157	3.231	3.345	3.421	3.573	3.857
47.5	-0.3833	2.8867	0.09048	2.213	2.358	2.448	2.498	2.577	2.633	2.718	2.887	3.071	3.176	3.25	3.365	3.442	3.595	3.88
47.6	-0.3833	2.9041	0.09049	2.227	2.372	2.463	2.513	2.593	2.648	2.734	2.904	3.089	3.195	3.27	3.385	3.463	3.617	3.904
47.7	-0.3833	2.9215	0.0905	2.24	2.386	2.477	2.528	2.608	2.664	2.75	2.922	3.108	3.214	3.289	3.405	3.484	3.639	3.927
47.8	-0.3833	2.939	0.0905	2.253	2.4	2.492	2.543	2.624	2.68	2.767	2.939	3.126	3.234	3.309	3.426	3.505	3.66	3.951
47.9	-0.3833	2.9565	0.09051	2.267	2.415	2.507	2.558	2.639	2.696	2.783	2.957	3.145	3.253	3.329	3.446	3.526	3.682	3.974
48	-0.3833	2.9741	0.09052	2.28	2.429	2.522	2.573	2.655	2.712	2.8	2.974	3.164	3.272	3.349	3.467	3.547	3.704	3.998
48.1	-0.3833	2.9918	0.09053	2.294	2.443	2.537	2.588	2.671	2.728	2.817	2.992	3.182	3.292	3.369	3.488	3.568	3.726	4.022
48.2	-0.3833	3.0096	0.09054	2.307	2.458	2.552	2.604	2.687	2.745	2.833	3.01	3.201	3.311	3.389	3.508	3.589	3.749	4.046
48.3	-0.3833	3.0275	0.09054	2.321	2.472	2.567	2.619	2.703	2.761	2.85	3.028	3.22	3.331	3.409	3.529	3.61	3.771	4.07
48.4	-0.3833	3.0455	0.09055	2.335	2.487	2.582	2.635	2.719	2.777	2.867	3.046	3.24	3.351	3.429	3.55	3.632	3.794	4.095
48.5	-0.3833	3.0636	0.09056	2.348	2.502	2.598	2.65	2.735	2.794	2.884	3.064	3.259	3.371	3.45	3.571	3.654	3.816	4.119
48.6	-0.3833	3.0818	0.09057	2.362	2.517	2.613	2.666	2.751	2.81	2.901	3.082	3.278	3.391	3.47	3.593	3.675	3.839	4.144
48.7	-0.3833	3.1001	0.09057	2.376	2.532	2.629	2.682	2.767	2.827	2.918	3.1	3.298	3.411	3.491	3.614	3.697	3.862	4.168
48.8	-0.3833	3.1186	0.09058	2.39	2.547	2.644	2.698	2.784	2.844	2.936	3.119	3.317	3.431	3.512	3.636	3.719	3.885	4.193
48.9	-0.3833	3.1372	0.09059	2.405	2.562	2.66	2.714	2.8	2.861	2.953	3.137	3.337	3.452	3.533	3.657	3.742	3.908	4.218
49	-0.3833	3.156	0.0906	2.419	2.577	2.676	2.73	2.817	2.878	2.971	3.156	3.357	3.473	3.554	3.679	3.764	3.932	4.244
49.1	-0.3833	3.1749	0.09061	2.433	2.592	2.692	2.747	2.834	2.895	2.989	3.175	3.377	3.494	3.575	3.702	3.787	3.955	4.269
49.2	-0.3833	3.1939	0.09061	2.448	2.608	2.708	2.763	2.851	2.912	3.007	3.194	3.398	3.514	3.597	3.724	3.809	3.979	4.295
49.3	-0.3833	3.2131	0.09062	2.463	2.623	2.724	2.78	2.868	2.93	3.025	3.213	3.418	3.536	3.618	3.746	3.832	4.003	4.321
49.4	-0.3833	3.2325	0.09063	2.477	2.639	2.74	2.796	2.885	2.948	3.043	3.233	3.439	3.557	3.64	3.769	3.856	4.027	4.347
49.5	-0.3833	3.252	0.09064	2.492	2.655	2.757	2.813	2.903	2.965	3.061	3.252	3.46	3.579	3.662	3.792	3.879	4.052	4.374
49.6	-0.3833	3.2717	0.09065	2.507	2.671	2.774	2.83	2.92	2.983	3.08	3.272	3.481	3.6	3.685	3.815	3.903	4.076	4.4
49.7	-0.3833	3.2915	0.09065	2.523	2.687	2.79	2.847	2.938	3.001	3.098	3.292	3.502	3.622	3.707	3.838	3.926	4.101	4.427
49.8	-0.3833	3.3114	0.09066	2.538	2.704	2.807	2.864	2.956	3.019	3.117	3.311	3.523	3.644	3.729	3.861	3.95	4.126	4.454
49.9	-0.3833	3.3316	0.09067	2.553	2.72	2.824	2.882	2.974	3.038	3.136	3.332	3.544	3.666	3.752	3.885	3.974	4.151	4.481
50	-0.3833	3.3518	0.09068	2.569	2.736	2.841	2.899	2.992	3.056	3.155	3.352	3.566	3.688	3.775	3.908	3.998	4.176	4.508
50.1	-0.3833	3.3723	0.09069	2.584	2.753	2.859	2.917	3.01	3.075	3.174	3.372	3.588	3.711	3.798	3.932	4.023	4.202	4.536
50.2	-0.3833	3.3929	0.09069	2.6	2.77	2.876	2.935	3.028	3.094	3.194	3.393	3.61	3.734	3.821	3.956	4.047	4.228	4.564
50.3	-0.3833	3.4136	0.0907	2.616	2.787	2.894	2.953	3.047	3.112	3.213	3.414	3.632	3.757	3.845	3.98	4.072	4.254	4.592
50.4	-0.3833	3.4346	0.09071	2.632	2.804	2.911	2.971	3.065	3.132	3.233	3.435	3.654	3.78	3.868	4.005	4.097	4.28	4.62
50.5	-0.3833	3.4557	0.09072	2.648	2.821	2.929	2.989	3.084	3.151	3.253	3.456	3.676	3.803	3.892	4.03	4.123	4.306	4.649
50.6	-0.3833	3.4769	0.09073	2.664	2.838	2.947	3.007	3.103	3.17	3.273	3.477	3.699	3.826	3.916	4.054	4.148	4.333	4.677
50.7	-0.3833	3.4983	0.09074	2.68	2.856	2.965	3.026	3.122	3.19	3.293	3.498	3.722	3.85	3.94	4.079	4.174	4.36	4.706
50.8	-0.3833	3.5199	0.09074	2.697	2.873	2.984	3.044	3.141	3.209	3.313	3.52	3.745	3.874	3.965	4.105	4.199	4.387	4.735
50.9	-0.3833	3.5417	0.09075	2.714	2.891	3.002	3.063	3.161	3.229	3.334	3.542	3.768	3.898	3.989	4.13	4.225	4.414	4.765
51	-0.3833	3.5636	0.09076	2.73	2.909	3.021	3.082	3.18	3.249	3.354	3.564	3.791	3.922	4.014	4.156	4.252	4.441	4.795
51.1	-0.3833	3.5856	0.09077	2.747	2.927	3.039	3.101	3.2	3.269	3.375	3.586	3.815	3.946	4.039	4.182	4.278	4.469	4.824
51.2	-0.3833	3.6078	0.09078	2.764	2.945	3.058	3.12	3.22	3.289	3.396	3.608	3.838	3.971	4.064	4.207	4.305	4.497	4.854
51.3	-0.3833	3.6302	0.09079	2.781	2.963	3.077	3.14	3.24	3.31	3.417	3.63	3.862	3.995	4.089	4.234	4.331	4.525	4.885
51.4	-0.3833	3.6527	0.0908	2.798	2.981	3.096	3.159	3.26	3.33	3.438	3.653	3.886	4.02	4.114	4.26	4.358	4.553	4.915
51.5	-0.3833	3.6754	0.0908	2.816	3	3.115	3.179	3.28	3.351	3.46	3.675	3.91	4.045	4.14	4.286	4.385	4.581	4.946
51.6	-0.3833	3.6982	0.09081	2.833	3.018	3.134	3.198	3.3	3.372	3.481	3.698	3.935	4.07	4.166	4.313	4.413	4.61	4.977
51.7	-0.3833	3.7212	0.09082	2.85	3.037	3.154	3.218	3.321	3.393	3.503	3.721	3.959	4.096	4.192	4.34	4.44	4.638	5.008
51.8	-0.3833	3.7444	0.09083	2.868	3.056	3.173	3.238	3.341	3.414	3.524	3.744	3.984	4.121	4.218	4.367	4.468	4.667	5.039
51.9	-0.3833	3.7677	0.09084	2.886	3.075	3.193	3.258	3.362	3.435	3.546	3.768	4.009	4.147	4.244	4.394	4.496	4.697	5.071
52	-0.3833	3.7911	0.09085	2.904	3.094	3.213	3.278	3.383	3.456	3.568	3.791	4.034	4.173	4.271	4.422	4.524	4.726	5.102
52.1	-0.3833	3.8147	0.09086	2.922	3.113	3.233	3.299	3.404	3.478	3.59	3.815	4.059	4.199	4.297	4.449	4.552	4.755	5.134
52.2	-0.3833	3.8385	0.09086	2.94	3.133	3.253	3.319	3.425	3.499	3.613	3.839	4.084	4.225	4.324	4.477	4.581	4.785	5.166
52.3	-0.3833	3.8623	0.09087	2.958	3.152	3.273	3.34	3.446	3.521	3.635	3.862	4.109	4.251	4.351	4.505	4.609	4.815	5.198
52.4	-0.3833	3.8863	0.09088	2.976	3.171	3.293	3.361	3.468	3.543	3.658	3.886	4.135	4.278	4.378	4.533	4.638	4.845	5.231
52.5	-0.3833	3.9105	0.09089	2.995	3.191	3.314	3.381	3.489	3.565	3.681	3.911	4.161	4.304	4.405	4.561	4.667	4.875	5.264
52.6	-0.3833	3.9348	0.0909	3.013	3.211	3.334	3.402	3.511	3.587	3.703	3.935	4.187	4.331	4.433	4.59	4.696	4.906	5.297
52.7	-0.3833	3.9592	0.09091	3.032	3.231	3.355	3.423	3.533	3.609	3.726	3.959	4.213	4.358	4.46	4.618	4.725	4.936	5.33
52.8	-0.3833	3.9837	0.09092	3.051	3.251	3.376	3.445	3.555	3.631	3.749	3.984	4.239	4.385	4.488	4.647	4.754	4.967	5.363
52.9	-0.3833	4.0084	0.09093	3.07	3.271	3.396	3.466	3.577	3.654	3.773	4.008	4.265	4.412	4.516	4.676	4.784	4.998	5.396
53	-0.3833	4.0332	0.09093	3.089	3.291	3.418	3.487	3.599	3.677	3.796	4.033	4.291	4.44	4.544	4.705	4.814	5.029	5.43
53.1	-0.3833	4.0581	0.09094	3.108	3.311	3.439	3.509	3.621	3.699	3.819	4.058	4.318	4.467	4.572	4.734	4.843	5.06	5.463
53.2	-0.3833	4.0832	0.09095	3.127	3.332	3.46	3.53	3.643	3.722	3.843	4.083	4.345	4.495	4.6	4.763	4.873	5.091	5.497
53.3	-0.3833	4.1084	0.09096	3.146	3.352	3.481	3.552	3.666	3.745	3.867	4.108	4.372	4.522	4.629	4.793	4.904	5.123	5.531
53.4	-0.3833	4.1337	0.09097	3.165	3.373	3.502	3.574	3.688	3.768	3.89	4.134	4.399	4.55	4.657	4.822	4.934	5.155	5.566
53.5	-0.3833	4.1591	0.09098	3.184	3.393	3.524	3.596	3.711	3.791	3.914	4.159	4.426	4.578	4.686	4.852	4.964	5.186	5.6
53.6	-0.3833	4.1846	0.09099	3.204	3.414	3.545	3.618	3.733	3.814	3.938	4.185	4.453	4.606	4.715	4.882	4.995	5.218	5.635
53.7	-0.3833	4.2102	0.09099	3.224	3.435	3.567	3.64	3.756	3.838	3.962	4.21	4.48	4.635	4.744	4.912	5.025	5.25	5.669
53.8	-0.3833	4.2359	0.091	3.243	3.456	3.589	3.662	3.779	3.861	3.987	4.236	4.507	4.663	4.773	4.942	5.056	5.282	5.704
53.9	-0.3833	4.2617	0.09101	3.263	3.477	3.611	3.684	3.802	3.885	4.011	4.262	4.535	4.691	4.802	4.972	5.087	5.315	5.739
54	-0.3833	4.2875	0.09102	3.282	3.498	3.632	3.707	3.825	3.908	4.035	4.288	4.562	4.72	4.831	5.002	5.118	5.347	5.774
54.1	-0.3833	4.3135	0.09103	3.302	3.519	3.654	3.729	3.848	3.932	4.06	4.314	4.59	4.749	4.86	5.033	5.149	5.38	5.809
54.2	-0.3833	4.3395	0.09104	3.322	3.54	3.676	3.751	3.871	3.955	4.084	4.34	4.618	4.777	4.89	5.063	5.18	5.412	5.844
54.3	-0.3833	4.3655	0.09105	3.342	3.561	3.698	3.774	3.895	3.979	4.108	4.366	4.645	4.806	4.919	5.094	5.211	5.445	5.879
54.4	-0.3833	4.3917	0.09105	3.362	3.583	3.72	3.797	3.918	4.003	4.133	4.392	4.673	4.835	4.949	5.124	5.243	5.477	5.915
54.5	-0.3833	4.4179	0.09106	3.382	3.604	3.743	3.819	3.941	4.027	4.158	4.418	4.701	4.864	4.978	5.155	5.274	5.51	5.95
54.6	-0.3833	4.4442	0.09107	3.402	3.625	3.765	3.842	3.965	4.051	4.182	4.444	4.729	4.893	5.008	5.186	5.306	5.543	5.986
54.7	-0.3833	4.4705	0.09108	3.422	3.647	3.787	3.864	3.988	4.075	4.207	4.471	4.757	4.922	5.038	5.216	5.337	5.576	6.021
54.8	-0.3833	4.4969	0.09109	3.442	3.668	3.809	3.887	4.012	4.099	4.232	4.497	4.785	4.951	5.067	5.247	5.369	5.609	6.057
54.9	-0.3833	4.5233	0.09109	3.462	3.69	3.832	3.91	4.035	4.123	4.257	4.523	4.813	4.98	5.097	5.278	5.4	5.642	6.093
55	-0.3833	4.5498	0.0911	3.482	3.711	3.854	3.933	4.059	4.147	4.282	4.55	4.842	5.009	5.127	5.309	5.432	5.675	6.129
55.1	-0.3833	4.5763	0.09111	3.503	3.733	3.876	3.956	4.082	4.171	4.307	4.576	4.87	5.038	5.157	5.34	5.464	5.708	6.165
55.2	-0.3833	4.6029	0.09112	3.523	3.754	3.899	3.979	4.106	4.195	4.332	4.603	4.898	5.068	5.187	5.371	5.496	5.742	6.201
55.3	-0.3833	4.6295	0.09113	3.543	3.776	3.921	4.002	4.13	4.219	4.357	4.63	4.927	5.097	5.217	5.402	5.527	5.775	6.237
55.4	-0.3833	4.6561	0.09113	3.564	3.798	3.944	4.025	4.153	4.244	4.382	4.656	4.955	5.126	5.247	5.433	5.559	5.808	6.273
55.5	-0.3833	4.6827	0.09114	3.584	3.819	3.966	4.048	4.177	4.268	4.407	4.683	4.983	5.156	5.277	5.464	5.591	5.842	6.309
55.6	-0.3833	4.7094	0.09115	3.604	3.841	3.989	4.071	4.201	4.292	4.432	4.709	5.012	5.185	5.307	5.496	5.623	5.875	6.345
55.7	-0.3833	4.7361	0.09116	3.624	3.863	4.011	4.094	4.225	4.316	4.457	4.736	5.04	5.215	5.337	5.527	5.655	5.909	6.381
55.8	-0.3833	4.7628	0.09116	3.645	3.884	4.034	4.117	4.248	4.341	4.482	4.763	5.069	5.244	5.367	5.558	5.687	5.942	6.417
55.9	-0.3833	4.7895	0.09117	3.665	3.906	4.057	4.14	4.272	4.365	4.507	4.79	5.097	5.273	5.398	5.589	5.719	5.975	6.453
56	-0.3833	4.8162	0.09118	3.686	3.928	4.079	4.163	4.296	4.389	4.532	4.816	5.125	5.303	5.428	5.621	5.751	6.009	6.489
56.1	-0.3833	4.843	0.09119	3.706	3.949	4.102	4.186	4.32	4.414	4.557	4.843	5.154	5.332	5.458	5.652	5.783	6.042	6.526
56.2	-0.3833	4.8697	0.09119	3.726	3.971	4.124	4.209	4.344	4.438	4.582	4.87	5.182	5.362	5.488	5.683	5.815	6.076	6.562
56.3	-0.3833	4.8964	0.0912	3.747	3.993	4.147	4.232	4.367	4.462	4.608	4.896	5.211	5.391	5.518	5.714	5.847	6.109	6.598
56.4	-0.3833	4.9232	0.09121	3.767	4.015	4.17	4.255	4.391	4.487	4.633	4.923	5.239	5.421	5.549	5.746	5.879	6.143	6.634
56.5	-0.3833	4.95	0.09121	3.788	4.037	4.192	4.278	4.415	4.511	4.658	4.95	5.268	5.45	5.579	5.777	5.911	6.176	6.67
56.6	-0.3833	4.9767	0.09122	3.808	4.058	4.215	4.301	4.439	4.535	4.683	4.977	5.296	5.48	5.609	5.808	5.943	6.21	6.707
56.7	-0.3833	5.0034	0.09123	3.828	4.08	4.237	4.324	4.463	4.56	4.708	5.003	5.325	5.509	5.639	5.84	5.975	6.243	6.743
56.8	-0.3833	5.0302	0.09123	3.849	4.102	4.26	4.347	4.487	4.584	4.733	5.03	5.353	5.539	5.669	5.871	6.007	6.277	6.779
56.9	-0.3833	5.0569	0.09124	3.869	4.123	4.283	4.37	4.51	4.608	4.758	5.057	5.382	5.568	5.7	5.902	6.039	6.31	6.815
57	-0.3833	5.0837	0.09125	3.889	4.145	4.305	4.393	4.534	4.633	4.784	5.084	5.41	5.598	5.73	5.934	6.071	6.344	6.851
57.1	-0.3833	5.1104	0.09125	3.91	4.167	4.328	4.416	4.558	4.657	4.809	5.11	5.439	5.627	5.76	5.965	6.103	6.377	6.887
57.2	-0.3833	5.1371	0.09126	3.93	4.189	4.35	4.439	4.582	4.681	4.834	5.137	5.467	5.657	5.79	5.996	6.135	6.41	6.924
57.3	-0.3833	5.1639	0.09126	3.951	4.211	4.373	4.463	4.606	4.706	4.859	5.164	5.496	5.686	5.82	6.027	6.167	6.444	6.96
57.4	-0.3833	5.1906	0.09127	3.971	4.232	4.396	4.486	4.629	4.73	4.884	5.191	5.524	5.716	5.85	6.059	6.199	6.477	6.996
57.5	-0.3833	5.2173	0.09128	3.991	4.254	4.418	4.509	4.653	4.754	4.909	5.217	5.553	5.745	5.881	6.09	6.231	6.511	7.032
57.6	-0.3833	5.244	0.09128	4.012	4.276	4.441	4.532	4.677	4.779	4.934	5.244	5.581	5.774	5.911	6.121	6.263	6.544	7.068
57.7	-0.3833	5.2707	0.09129	4.032	4.297	4.463	4.555	4.701	4.803	4.959	5.271	5.61	5.804	5.941	6.152	6.295	6.578	7.104
57.8	-0.3833	5.2974	0.09129	4.053	4.319	4.486	4.578	4.725	4.827	4.985	5.297	5.638	5.833	5.971	6.183	6.327	6.611	7.14
57.9	-0.3833	5.324	0.0913	4.073	4.341	4.508	4.601	4.748	4.851	5.01	5.324	5.666	5.863	6.001	6.215	6.359	6.644	7.177
58	-0.3833	5.3507	0.0913	4.093	4.362	4.531	4.624	4.772	4.876	5.035	5.351	5.695	5.892	6.031	6.246	6.391	6.678	7.213
58.1	-0.3833	5.3773	0.09131	4.113	4.384	4.553	4.647	4.796	4.9	5.06	5.377	5.723	5.921	6.061	6.277	6.423	6.711	7.249
58.2	-0.3833	5.4039	0.09131	4.134	4.406	4.576	4.67	4.819	4.924	5.085	5.404	5.751	5.951	6.091	6.308	6.454	6.744	7.284
58.3	-0.3833	5.4304	0.09131	4.154	4.427	4.598	4.693	4.843	4.948	5.11	5.43	5.78	5.98	6.121	6.339	6.486	6.777	7.32
58.4	-0.3833	5.4569	0.09132	4.174	4.449	4.621	4.715	4.867	4.972	5.135	5.457	5.808	6.009	6.151	6.37	6.518	6.811	7.356
58.5	-0.3833	5.4834	0.09132	4.194	4.47	4.643	4.738	4.89	4.997	5.16	5.483	5.836	6.038	6.181	6.401	6.55	6.844	7.392
58.6	-0.3833	5.5098	0.09133	4.215	4.492	4.665	4.761	4.914	5.021	5.184	5.51	5.864	6.067	6.211	6.432	6.581	6.877	7.428
58.7	-0.3833	5.5362	0.09133	4.235	4.513	4.688	4.784	4.937	5.045	5.209	5.536	5.892	6.097	6.24	6.463	6.613	6.91	7.463
58.8	-0.3833	5.5625	0.09133	4.255	4.535	4.71	4.807	4.961	5.069	5.234	5.563	5.92	6.126	6.27	6.493	6.644	6.943	7.499
58.9	-0.3833	5.5888	0.09134	4.275	4.556	4.732	4.829	4.984	5.093	5.259	5.589	5.948	6.155	6.3	6.524	6.676	6.976	7.535
59	-0.3833	5.6151	0.09134	4.295	4.578	4.754	4.852	5.008	5.116	5.283	5.615	5.976	6.184	6.33	6.555	6.707	7.008	7.57
59.1	-0.3833	5.6413	0.09134	4.315	4.599	4.777	4.875	5.031	5.14	5.308	5.641	6.004	6.212	6.359	6.585	6.738	7.041	7.605
59.2	-0.3833	5.6674	0.09135	4.335	4.62	4.799	4.897	5.054	5.164	5.333	5.667	6.032	6.241	6.389	6.616	6.77	7.074	7.641
59.3	-0.3833	5.6935	0.09135	4.355	4.641	4.821	4.92	5.077	5.188	5.357	5.694	6.06	6.27	6.418	6.646	6.801	7.106	7.676
59.4	-0.3833	5.7195	0.09135	4.375	4.663	4.843	4.942	5.101	5.212	5.382	5.72	6.087	6.299	6.447	6.677	6.832	7.139	7.711
59.5	-0.3833	5.7454	0.09135	4.395	4.684	4.865	4.964	5.124	5.235	5.406	5.745	6.115	6.327	6.476	6.707	6.863	7.171	7.746
59.6	-0.3833	5.7713	0.09136	4.414	4.705	4.887	4.987	5.147	5.259	5.43	5.771	6.143	6.356	6.506	6.737	6.894	7.204	7.781
59.7	-0.3833	5.7971	0.09136	4.434	4.726	4.908	5.009	5.17	5.282	5.455	5.797	6.17	6.384	6.535	6.768	6.925	7.236	7.816
59.8	-0.3833	5.8229	0.09136	4.454	4.747	4.93	5.031	5.193	5.306	5.479	5.823	6.198	6.412	6.564	6.798	6.956	7.268	7.851
59.9	-0.3833	5.8485	0.09136	4.473	4.768	4.952	5.053	5.216	5.329	5.503	5.849	6.225	6.441	6.593	6.828	6.986	7.3	7.885
60	-0.3833	5.8742	0.09136	4.493	4.789	4.974	5.076	5.239	5.352	5.527	5.874	6.252	6.469	6.622	6.858	7.017	7.332	7.92
60.1	-0.3833	5.8997	0.09136	4.512	4.809	4.995	5.098	5.261	5.376	5.551	5.9	6.279	6.497	6.651	6.887	7.047	7.364	7.954
60.2	-0.3833	5.9252	0.09137	4.532	4.83	5.017	5.12	5.284	5.399	5.575	5.925	6.307	6.525	6.679	6.917	7.078	7.396	7.989
60.3	-0.3833	5.9507	0.09137	4.551	4.851	5.038	5.142	5.307	5.422	5.599	5.951	6.334	6.553	6.708	6.947	7.108	7.428	8.023
60.4	-0.3833	5.9761	0.09137	4.571	4.872	5.06	5.164	5.329	5.445	5.623	5.976	6.361	6.581	6.737	6.977	7.139	7.459	8.057
60.5	-0.3833	6.0014	0.09137	4.59	4.892	5.081	5.186	5.352	5.468	5.647	6.001	6.388	6.609	6.765	7.006	7.169	7.491	8.092
60.6	-0.3833	6.0266	0.09137	4.609	4.913	5.103	5.207	5.374	5.491	5.67	6.027	6.414	6.637	6.794	7.036	7.199	7.523	8.126
60.7	-0.3833	6.0518	0.09137	4.629	4.933	5.124	5.229	5.397	5.514	5.694	6.052	6.441	6.665	6.822	7.065	7.229	7.554	8.16
60.8	-0.3833	6.0769	0.09137	4.648	4.954	5.145	5.251	5.419	5.537	5.718	6.077	6.468	6.692	6.85	7.094	7.259	7.585	8.193
60.9	-0.3833	6.102	0.09137	4.667	4.974	5.166	5.272	5.442	5.56	5.741	6.102	6.495	6.72	6.879	7.124	7.289	7.617	8.227
61	-0.3833	6.127	0.09137	4.686	4.995	5.188	5.294	5.464	5.583	5.765	6.127	6.521	6.747	6.907	7.153	7.319	7.648	8.261
61.1	-0.3833	6.1519	0.09137	4.705	5.015	5.209	5.316	5.486	5.605	5.788	6.152	6.548	6.775	6.935	7.182	7.349	7.679	8.295
61.2	-0.3833	6.1768	0.09136	4.724	5.035	5.23	5.337	5.508	5.628	5.812	6.177	6.574	6.802	6.963	7.211	7.378	7.71	8.328
61.3	-0.3833	6.2017	0.09136	4.743	5.056	5.251	5.359	5.531	5.651	5.835	6.202	6.601	6.83	6.991	7.24	7.408	7.741	8.361
61.4	-0.3833	6.2264	0.09136	4.762	5.076	5.272	5.38	5.553	5.673	5.858	6.226	6.627	6.857	7.019	7.269	7.438	7.772	8.395
61.5	-0.3833	6.2511	0.09136	4.781	5.096	5.293	5.401	5.575	5.696	5.882	6.251	6.653	6.884	7.047	7.298	7.467	7.803	8.428
61.6	-0.3833	6.2758	0.09136	4.8	5.116	5.314	5.423	5.597	5.718	5.905	6.276	6.68	6.911	7.074	7.326	7.497	7.833	8.461
61.7	-0.3833	6.3004	0.09136	4.819	5.136	5.335	5.444	5.619	5.741	5.928	6.3	6.706	6.938	7.102	7.355	7.526	7.864	8.494
61.8	-0.3833	6.3249	0.09135	4.838	5.156	5.355	5.465	5.641	5.763	5.951	6.325	6.732	6.965	7.13	7.384	7.555	7.894	8.527
61.9	-0.3833	6.3494	0.09135	4.857	5.176	5.376	5.486	5.662	5.786	5.974	6.349	6.758	6.992	7.157	7.412	7.584	7.925	8.56
62	-0.3833	6.3738	0.09135	4.875	5.196	5.397	5.507	5.684	5.808	5.997	6.374	6.784	7.019	7.185	7.441	7.614	7.956	8.593
62.1	-0.3833	6.3981	0.09135	4.894	5.216	5.417	5.528	5.706	5.83	6.02	6.398	6.81	7.046	7.212	7.469	7.643	7.986	8.626
62.2	-0.3833	6.4224	0.09134	4.912	5.236	5.438	5.55	5.728	5.852	6.043	6.422	6.836	7.073	7.24	7.497	7.671	8.016	8.658
62.3	-0.3833	6.4466	0.09134	4.931	5.255	5.459	5.57	5.749	5.874	6.066	6.447	6.861	7.099	7.267	7.525	7.7	8.046	8.691
